GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "02000","Alaska",8,CAGDP2,1,"...","All industry total","Thousands of dollars",28420361,29605348,31799747,34970743,39774817,44435347,48972565,54752445,49585892,52882517,56259944,57670130,56622784,55523440,50641572,49363445,51803075,54734063
 "02000","Alaska",8,CAGDP2,2,"..."," Private industries","Thousands of dollars",22500511,23203262,24980603,27850604,32222636,36524767,40740302,46198866,40539720,43555553,46419988,47420812,46529856,45180562,40231985,38928571,41282450,43907604
 "02000","Alaska",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",353602,312303,336045,304146,345172,370178,337406,373454,371880,459792,538109,497463,509123,494970,460491,404827,390938,406543
 "02000","Alaska",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",4037335,4560338,5219662,7247752,10398886,13820068,16463629,20374801,14420533,15688058,18197488,18212614,16288816,14046199,7637146,6351020,8495452,9302080
 "02000","Alaska",8,CAGDP2,10,"22","  Utilities","Thousands of dollars",412750,397344,421971,446335,447574,510444,506136,541646,620223,660788,747416,741568,749228,777182,756405,775624,781459,813230
 "02000","Alaska",8,CAGDP2,11,"23","  Construction","Thousands of dollars",1430273,1543655,1713511,1842563,2038460,2038407,2125525,2073556,2176046,2134114,2044734,2007056,1906052,2014017,2132162,1972114,1835609,1969103
 "02000","Alaska",8,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",947374,918621,1101223,1221980,1265279,1398805,1546215,1475597,1451185,1102895,963166,983186,1315878,1589424,1818988,1546350,1654378,1842613
 "02000","Alaska",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",111557,112347,127729,136684,156399,161935,178070,181789,189380,170358,157419,195014,208579,220826,254617,242424,232389,233341
 "02000","Alaska",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",835817,806274,973494,1085297,1108881,1236870,1368145,1293808,1261805,932536,805747,788172,1107299,1368598,1564371,1303926,1421989,1609272
 "02000","Alaska",8,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",718870,719551,733655,812458,887299,966855,1046238,1094319,1018158,1112139,1146133,1167397,1249872,1262097,1272288,1274131,1289944,1386068
 "02000","Alaska",8,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",1647894,1748363,1821084,1773510,1864422,1869000,1883647,1880922,1947612,1993384,2005911,2040202,2089421,2125116,2233146,2238025,2250104,2309161
 "02000","Alaska",8,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",3696983,3071340,3180939,3339055,3331158,3645465,4198656,4886971,4448290,5459425,5067587,5432646,5498568,5622151,6133090,6535093,6775693,7434195
 "02000","Alaska",8,CAGDP2,45,"51","  Information","Thousands of dollars",764578,826675,875204,975895,1064459,1075939,1115054,1161833,1097111,1121319,1149477,1169592,1282085,1314738,1446719,1411481,1352384,1317263
 "02000","Alaska",8,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",3555408,3753582,3972311,3916711,4314893,4220550,4474961,4628219,4937828,5316733,5631912,5816255,5939029,6119488,6195138,6316723,6233493,6458282
