GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "04000","Arizona",6,CAGDP2,1,"...","All industry total","Thousands of dollars",171474249,179413252,192751175,205420784,228231155,248230652,262322018,259366707,243929446,248209959,257947815,268288824,275199078,284429985,297141159,311091021,327495774,348297074
 "04000","Arizona",6,CAGDP2,2,"..."," Private industries","Thousands of dollars",148676367,155165933,166767568,177830131,198493252,216405425,228512201,223621492,208884777,211726693,220929998,230467987,236535701,245771274,257720897,270586411,285511254,304622299
 "04000","Arizona",6,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",1518311,1598856,1615112,2192405,2003833,1827520,2136160,1636363,1338444,1677706,2414939,1903855,2359666,2138745,2285231,2561625,2491251,2260990
 "04000","Arizona",6,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",1286682,1239852,1395631,1927375,3124953,4372515,4929645,5359707,4798549,6092820,7183053,6433215,5770451,5764260,4267232,3739499,5303043,5453420
 "04000","Arizona",6,CAGDP2,10,"22","  Utilities","Thousands of dollars",3507169,3382507,3516603,3843761,3932269,4664098,5094258,5276574,5748954,6041851,6305967,6200150,6335171,6414135,6444526,6740008,6930911,7136863
 "04000","Arizona",6,CAGDP2,11,"23","  Construction","Thousands of dollars",10926930,11266119,12181124,14270938,18287207,21606229,22111893,17757354,11863875,9809108,9623702,9304006,10392782,10897240,11661216,12958802,14688805,16265591
 "04000","Arizona",6,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",22223337,22328729,25642177,21529962,20572134,22580614,24545849,23502887,20726162,22162391,23243701,24413435,22161235,24016524,25828686,26524343,26905134,28943475
 "04000","Arizona",6,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",19303002,19565496,23032400,18909694,17689467,19246878,20392827,19493308,16227430,17894325,18911095,20312992,18669167,20120118,21386417,21982604,22345833,23974741
 "04000","Arizona",6,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",2920335,2763233,2609777,2620268,2882667,3333736,4153022,4009579,4498732,4268066,4332607,4100442,3492068,3896406,4442269,4541738,4559300,4968734
 "04000","Arizona",6,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",10041640,10128913,10735900,11866806,12825826,13844580,15186350,15294352,14521648,14865151,15327566,16698295,16550056,16745762,17214649,17839802,18772196,19465119
 "04000","Arizona",6,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",13716889,14272897,15320751,16418779,18577536,20433894,20751727,19243844,17782205,18176161,19591581,20202963,20365733,21580808,22246046,22773848,23459309,24371667
