GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "06000","California",8,CAGDP2,1,"...","All industry total","Thousands of dollars",1384111202,1436430884,1527293953,1632216881,1753866215,1874737295,1955856011,1990678177,1920061827,1974614532,2050056806,2144497264,2262771182,2395162327,2553772243,2657797648,2819110670,2997732750
 "06000","California",8,CAGDP2,2,"..."," Private industries","Thousands of dollars",1206974416,1248915014,1330250849,1426568676,1539095262,1648530997,1713469168,1736169387,1665581822,1716935051,1786927957,1880554502,1988551397,2105659485,2247912789,2341138358,2491302327,2656839211
 "06000","California",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",17706583,18551210,21089535,25234797,25238913,24270605,28327566,26060490,25265917,28686939,32784445,34377933,37979617,40978944,37935781,36628050,39017401,37498013
 "06000","California",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",6427793,5926493,7008921,9141014,12711892,17722341,21459421,25724899,17929454,18350412,20556223,21345526,19396708,17147550,8890080,7231122,9396260,10949463
 "06000","California",8,CAGDP2,10,"22","  Utilities","Thousands of dollars",14641450,20256044,20965530,20786934,20986426,25231063,25459252,25039004,27489214,28575764,29970926,29429485,31074363,32064066,33147778,33993065,36306423,34972383
 "06000","California",8,CAGDP2,11,"23","  Construction","Thousands of dollars",58705374,59869874,66909152,81008556,92280559,97674265,94651273,76877023,65367855,61607191,58911124,64000527,72444784,78081336,88025823,95787273,102950688,111267168
 "06000","California",8,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",177808856,162315371,176932686,183895275,208700529,222724155,233499547,249824547,232732462,227173375,225344895,236799506,250438533,264400073,280043789,285735146,303764448,320738645
 "06000","California",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",112985396,106377377,112198239,112765198,124386418,128656353,133613334,133072047,130071472,131427706,137560044,141042296,148548361,154667047,167012215,175149356,186478036,198915889
 "06000","California",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",64823459,55937993,64734447,71130077,84314111,94067801,99886213,116752500,102660990,95745669,87784850,95757209,101890172,109733026,113031573,110585791,117286413,121822756
 "06000","California",8,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",76191751,76325050,79925766,84873563,93429951,102141966,108620918,109552636,99666935,106949122,117885608,120576348,127612100,136625286,149088897,143557352,149425986,158245393
 "06000","California",8,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",99002817,102985614,108622501,115039277,121254956,126457015,123278780,115306832,109516109,113856751,116224224,122242378,129533448,132712480,139948289,140435500,144796498,153392711
 "06000","California",8,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",33587415,33552984,34560026,38526944,40044132,45590415,45219606,45288657,42618141,45793696,47259818,48332719,51425651,55171491,60878273,66758526,71961665,80113284
 "06000","California",8,CAGDP2,45,"51","  Information","Thousands of dollars",92966823,100965737,105169250,117240710,120016247,127230468,137227406,141951170,131115555,146968166,151319462,153370999,181906051,190298561,215150757,236990244,259954790,287811716
 "06000","California",8,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",278252558,302652068,325854467,344635213,379405430,404899054,415202815,406959021,410602915,417336391,435960465,462931095,488943614,522690219,553938029,581891089,625639314,659572325
 "06000","California",8,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",73288377,80819108,87575093,86282635,95979616,102922472,99506654,80793961,93039185,95713073,98775787,111429205,114207057,122094757,127746034,133212569,146783433,155592596
 "06000","California",8,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",204964181,221832960,238279374,258352578,283425814,301976582,315696161,326165060,317563730,321623317,337184678,351501890,374736557,400595462,426191995,448678520,478855882,503979729
 "06000","California",8,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",181772130,180031041,186940516,195813923,207195753,222988975,241558624,261337093,245337544,255069296,272108719,293693278,293546272,312534478,336124065,347068772,366241328,397272253
 "06000","California",8,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",112885048,113304706,117259967,121841794,131372708,142730935,155491204,174802471,164323912,170034277,182526700,199503962,196556089,209989509,227855003,231023674,242276670,262785844
 "06000","California",8,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",27984480,25295953,25446166,26220181,24836416,25695967,26722386,26429581,25229264,26562918,28547472,30048978,34022444,35911161,37899612,39393264,40710625,46740507
 "06000","California",8,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",40902601,41430382,44234383,47751947,50986629,54562073,59345033,60105042,55784369,58472100,61034548,64140337,62967739,66633808,70369450,76651834,83254034,87745902
 "06000","California",8,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",78906127,87111539,93752589,101235194,105585773,112791545,118724586,131339218,141040768,147588791,154603342,162496579,168150422,174425973,185888454,197077045,206404663,218315175
 "06000","California",8,CAGDP2,69,"61","   Educational services","Thousands of dollars",10753721,11603640,12958388,14442468,14867384,16150935,16998141,19100105,21523090,23129798,24271643,25467567,26094112,27726111,28921009,30110770,30543254,31791389
 "06000","California",8,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",68152407,75507898,80794201,86792726,90718388,96640610,101726446,112239114,119517678,124458993,130331700,137029012,142056310,146699861,156967446,166966276,175861409,186523786
 "06000","California",8,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",55403012,59925646,64820994,69471551,70658121,75159275,76322842,78008723,75255690,77314650,81690485,87048406,91060637,100383476,108389564,116395819,121502850,130031225
 "06000","California",8,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",17791169,19517832,22781147,24092601,25042982,26174989,26431178,27511343,26995964,28073501,29757425,32512263,32930758,35339781,35440963,37729489,38795197,41171763
 "06000","California",8,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",37611843,40407814,42039847,45378950,45615139,48984285,49891664,50497380,48259726,49241148,51933059,54536143,58129878,65043695,72948600,78666330,82707652,88859462
 "06000","California",8,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",35601726,38446342,37698916,39665725,41586580,43649855,43916530,42900074,41643263,41664508,42308221,43909723,45039197,48145553,50463210,51589355,53940012,56659458
 "06000","California",8,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",177136786,187515870,197043104,205648205,214770952,226206297,242386843,254508790,254480005,257679481,263128849,263942762,274219786,289502841,305859454,316659290,327808343,340893539
 "06000","California",8,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",24134376,24477703,28098456,34375810,37950805,41992946,49786987,51785389,43195371,47037351,53340667,55723459,57376325,58126493,46825861,43859172,48413661,48447476
 "06000","California",8,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",175194568,179310665,188548267,199912840,214684907,228598981,231899698,224859467,209183043,220805872,234109832,242818727,257145549,269337766,289037185,283992852,294222484,311638103
 "06000","California",8,CAGDP2,89,"...","Transportation and utilities","Thousands of dollars",48228865,53809029,55525556,59313878,61030559,70821479,70678859,70327661,70107356,74369460,77230744,77762204,82500015,87235557,94026051,100751591,108268088,115085667
 "06000","California",8,CAGDP2,90,"...","Manufacturing and information","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "06000","California",8,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",260648606,246662948,271940294,299279641,338931892,362391366,377937807,378486959,341295688,335817918,337596686,356523491,380259642,400607902,414895472,425381591,455128798,480453289
 "06000","California",8,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",946325810,1002252066,1058310555,1127289035,1200163370,1286139632,1335531361,1357682428,1324286133,1381117133,1449331271,1524031011,1608291755,1705051583,1833017316,1915756767,2036173529,2176385922
 "06001","Alameda, CA",8,CAGDP2,1,"...","All industry total","Thousands of dollars",66805743,69071820,73174957,76537223,80335209,86003251,88736625,89725063,86857946,89966030,92778241,97170941,103118832,110050098,121519158,128439663,136890879,144494091
 "06001","Alameda, CA",8,CAGDP2,2,"..."," Private industries","Thousands of dollars",57768958,59325644,63010744,65753877,69343442,74547326,76919122,78348268,75530138,78513671,81172836,85397658,90577821,96542211,107159769,113390092,121366825,128340102
 "06001","Alameda, CA",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),88096,87236,91579,108971,115032,122544,112952
 "06001","Alameda, CA",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",67158,69732,61036,69995,55890,66230,62616,42156,47534,36964,46084,48365,45370,57428,47414,66352,90260,58985
 "06001","Alameda, CA",8,CAGDP2,10,"22","  Utilities","Thousands of dollars",173053,211786,204479,194084,193524,217137,219444,238963,245391,253049,267869,273895,472279,553168,658982,438859,455730,501297
