GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "08000","Colorado",7,CAGDP2,1,"...","All industry total","Thousands of dollars",187571874,190962782,196483730,203980172,219907859,231205893,246043481,255566847,248593643,255140457,264431573,273519504,288305157,306571146,318554858,329368289,350004383,371749566
 "08000","Colorado",7,CAGDP2,2,"..."," Private industries","Thousands of dollars",164142374,165782991,170301981,176943323,191546556,202228756,216366673,223730810,215725494,221241236,230257565,238837764,252661520,269335724,278995545,288598687,307657404,327529362
 "08000","Colorado",7,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",1838628,1512689,1565769,2043298,2079010,1938792,2447497,2182332,2041372,2288157,2801158,2559735,2662467,2718861,2759360,2568957,2300992,2154789
 "08000","Colorado",7,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",2747401,2656313,4310963,5704918,9516440,10959265,11277403,15819566,10666372,11662184,13309866,12347303,13641742,16591828,10504919,8465535,11715485,14232170
 "08000","Colorado",7,CAGDP2,10,"22","  Utilities","Thousands of dollars",2296540,2243699,2480533,2799384,2876780,3444287,3084475,3320337,3297851,3881607,3978742,3765227,3717350,4025061,4050774,3960219,3954462,4107396
 "08000","Colorado",7,CAGDP2,11,"23","  Construction","Thousands of dollars",12032890,11853014,11559269,12049831,13191802,13855248,14268926,13589721,11463611,9330801,9476704,10082838,12369684,14728202,16446386,18064907,19584236,21196915
 "08000","Colorado",7,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",14500736,14876632,14528292,15776237,16887973,18294186,19299743,19285068,19857325,20170887,20545714,20770899,21242212,22293712,23301755,22892568,24185497,25750697
 "08000","Colorado",7,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",9098760,9936861,9519156,10604172,10957825,12068957,12624236,11680164,10975339,12393559,12750126,13192344,13860895,13801527,14360185,14346038,15212853,15810982
 "08000","Colorado",7,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",5401976,4939771,5009136,5172065,5930148,6225229,6675507,7604904,8881986,7777328,7795588,7578556,7381317,8492185,8941570,8546530,8972644,9939716
 "08000","Colorado",7,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",10365297,10087699,10159702,10630130,11579317,12536385,13745760,14428797,13470890,14121359,14690274,15819809,16709995,17825370,18753175,18935536,19870552,20499140
 "08000","Colorado",7,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",11713568,11987923,12219611,12636162,13350040,13748515,14136151,13949442,13617848,13977527,14125888,14809710,15409093,16057028,17167450,17977923,18522547,19124164
 "08000","Colorado",7,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",4629771,4745675,5170532,5905843,6554588,5696444,6820031,6761842,6559616,6981528,6924833,7757159,9986767,11151218,12220227,12404662,13072619,14393453
 "08000","Colorado",7,CAGDP2,45,"51","  Information","Thousands of dollars",17619291,16882562,16631968,16065363,16757716,17537373,19160847,19372290,18610753,18731417,18738538,17874139,19263658,19312054,18673820,19024612,19848107,20176374
 "08000","Colorado",7,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",41374749,42576000,43145678,41363482,42617849,44314365,47505626,46300900,47346605,48720023,51641123,54129876,55516922,57756217,62472082,67757518,72141737,77127035
 "08000","Colorado",7,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",12083127,11888554,12097146,11529789,13114296,13612104,14032707,11465420,13184745,13151450,13953188,15595010,15667961,16494897,17595933,19099095,19873820,21935236
 "08000","Colorado",7,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",29291622,30687446,31048533,29833693,29503553,30702260,33472918,34835480,34161859,35568573,37687935,38534866,39848961,41261320,44876149,48658423,52267917,55191799
 "08000","Colorado",7,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",22327482,22117071,23410049,25494693,27966344,30263935,33427970,35619510,34881131,36376094,37703782,40676929,41604011,43931135,46219595,47419715,51306050,54645041
 "08000","Colorado",7,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",14535301,14398329,15010920,16065855,17512304,19010377,21014815,23098015,22712038,23545754,24482639,25729356,27057737,28345401,29747413,31145656,32866093,35591342
 "08000","Colorado",7,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",1987661,1965764,2346590,2969351,3446829,3895231,4429639,4348967,4636906,5077536,5346986,6486941,5963345,6384557,6883844,6337743,7701342,7487826
