GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,1,"...","All industry total","Thousands of dollars",39370288,40592564,42721043,45127028,47136150,50367113,51936216,53784425,56568714,57465796,57989787,59556407,61395501,63831080,66165188,68297828,70304587,72170807
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,2,"..."," Private industries","Thousands of dollars",31070905,32210981,34104979,36177053,37905168,40933070,41967810,43244150,45668965,46152092,46889668,48410965,49257163,51721759,54029193,55938334,57561791,59383021
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",(D),(D),171169,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),176641,(D),(D)
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",68473,65706,78749,98270,101564,126043,127345,133178,144528,138807,115713,118865,103432,119972,120868,165508,188246,216251
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,10,"22","  Utilities","Thousands of dollars",648692,588909,672372,672855,646829,898960,887137,937751,1054816,1358582,1759385,1649805,(D),1663516,1689208,1697564,1659816,1624842
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,11,"23","  Construction","Thousands of dollars",(D),(D),1887385,2016327,2078959,2099340,2147411,2230529,2410349,2278732,2263810,2439336,2451333,2511417,2578065,2603444,2766918,2866872
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",3805430,3923102,3740769,4151008,(D),5276554,(D),5046121,(D),(D),(D),(D),5111450,5359486,5884061,5858224,5945908,6074321
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2697941,2638312,2757935,2784153,2789861,2823772
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2413508,2721173,3126126,3074071,3156047,3250549
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2958716,3088346,3420557,3320238,3352796,3450938
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",2770125,2896917,3177602,3519847,3646284,3720519,3731535,3663018,3668378,3936127,3997618,3960312,4066047,4178001,4305641,4416746,4389458,4336768
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1310554,1293259,1276229,(D),1427291,1502990
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,45,"51","  Information","Thousands of dollars",1536872,1760346,1885511,2040792,2110433,2039779,2008958,1960242,1943471,1964942,1874058,1866161,1947793,2050369,2199008,2281560,2321551,2464894
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",7331283,7334251,7795485,7941327,8419368,9702407,10207357,10498220,12244663,12118343,12119697,12960076,12569491,13844076,14195506,15156043,15703496,16457530
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",3659768,3394368,3696770,3788772,4113582,3944327,4163656,3899327,5374076,5206533,4998835,5583182,5069526,6083460,6168278,6652303,6673005,6883718
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",3671515,3939883,4098715,4152555,4305786,5758080,6043701,6598893,6870587,6911810,7120862,7376894,7499965,7760616,8027229,8503739,9030490,9573811
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",4111306,4395900,4541623,(D),5127810,5367587,5692675,(D),(D),(D),(D),(D),6880035,(D),(D),(D),8036648,(D)
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",2459718,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5149625,5231398
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1344141,1303483,1342662,1351286,(D),(D)
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),1110726,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",3749473,3998098,4353777,4612796,4727022,4922521,5079231,5482578,5950227,6029948,6161423,6370187,6498821,6649101,6910423,7209304,(D),7776564
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,69,"61","   Educational services","Thousands of dollars",(D),(D),(D),(D),(D),957276,994809,(D),1196354,1256967,1296191,1345415,1356637,1398182,1439731,1500348,(D),1547909
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",(D),(D),(D),(D),(D),3965245,4084423,(D),4753873,4772981,4865231,5024772,5142184,5250918,5470691,5708956,(D),6228655
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",1299953,1433660,1404065,1494636,1522775,1600968,1653321,1716462,1705038,1821435,1856750,2009648,(D),2279633,2384845,2502646,2632862,2721097
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",251781,286945,249819,324947,325332,337074,342589,379471,407747,471153,441774,482033,(D),627030,605142,603285,569376,568773
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",1048172,1146714,1154247,1169689,1197443,1263893,1310732,1336991,1297291,1350281,1414977,1527615,1642366,1652603,1779704,1899362,2063486,2152323
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",1002911,1096019,1106282,1120856,1152242,1200922,1206966,1236058,1225373,1226050,1249518,1293482,1300373,1343124,1409248,1432842,1470682,1539226
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",8299383,8381584,8616064,8949975,9230982,9434043,9968406,10540276,10899749,11313704,11100119,11145442,12138338,12109322,12135995,12359493,12742796,12787785
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",(D),(D),249918,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),342149,(D),(D)
