GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "09000","Connecticut",1,CAGDP2,1,"...","All industry total","Thousands of dollars",173127176,176208242,181339678,198662425,208766194,222889134,237542660,240910913,236393215,237653432,236523699,243800971,246632040,248865221,260072585,263696402,268310532,275726903
 "09000","Connecticut",1,CAGDP2,2,"..."," Private industries","Thousands of dollars",156086004,158194193,162788154,179061938,187767505,201109052,214435749,216746834,212747309,213620269,212226971,219550579,221583220,223168574,233297330,236777169,241115072,247894048
 "09000","Connecticut",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",356234,321932,334590,379719,366662,352297,377114,385094,353828,375208,375628,409330,427005,352036,369025,324309,345996,331187
 "09000","Connecticut",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",98125,99546,114424,114011,119982,151384,162221,124609,109614,152825,131531,155947,145851,173258,241332,314969,198602,208603
 "09000","Connecticut",1,CAGDP2,10,"22","  Utilities","Thousands of dollars",2731832,2530407,2761020,3123344,3655148,4042785,4324259,4690422,4929242,4611442,4345676,4791598,4859174,5229536,4738058,4319615,4412097,4620921
 "09000","Connecticut",1,CAGDP2,11,"23","  Construction","Thousands of dollars",5827905,5628392,5942563,6793516,7460208,7996709,8337531,7523833,6974434,6487997,6388930,6630316,6662705,6886550,7405383,7783694,7912586,8166249
 "09000","Connecticut",1,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",23662794,25948839,26306266,30826568,31568177,37562852,38608955,38748436,28799761,29111757,28352838,28980016,30232221,29319726,29903812,27777123,28722248,29658947
 "09000","Connecticut",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",15049877,13761390,14704875,14804536,15707819,16849066,17223730,17729459,17827701,19829585,19398572,20446379,21076478,20408111,21008608,19909950,20784296,21610342
 "09000","Connecticut",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",8612917,12187449,11601391,16022033,15860359,20713786,21385225,21018977,10972061,9282173,8954266,8533637,9155743,8911615,8895205,7867173,7937952,8048604
 "09000","Connecticut",1,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",9101713,8882906,9319555,9987361,11129395,12232230,12945460,13876036,13411460,14373712,14847506,16059578,16506029,16868281,17762597,17369110,17281880,17689749
 "09000","Connecticut",1,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",10846696,11063097,11488634,11609283,11968486,11748518,11714458,11437174,11263534,11353145,11729922,12464109,12705874,12938887,13266020,13251199,13314557,13834833
 "09000","Connecticut",1,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",2707254,2721014,2977823,3206950,3388758,3595899,4108279,4027626,3777356,3625938,3728384,3838832,3929965,4193776,4864012,4655473,4696980,5076064
 "09000","Connecticut",1,CAGDP2,45,"51","  Information","Thousands of dollars",6613693,6916184,7254071,7828695,8603977,8998485,10236166,10793345,10568417,10526637,10413593,10056048,11576471,11341997,12723930,13108634,12656630,13550766
 "09000","Connecticut",1,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",50785858,49591053,49843812,56521341,58956308,61251840,67125377,65340100,73204277,72463904,69960078,70261093,68002218,66944262,71197844,75289703,77564109,77698669
 "09000","Connecticut",1,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",26351496,23943883,24885476,29445820,30424316,33354189,36959831,30032231,34869004,33640858,31214252,33269706,31942255,31653112,35468621,38129824,39669417,37670645
 "09000","Connecticut",1,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",24434362,25647170,24958337,27075521,28531992,27897651,30165546,35307869,38335273,38823046,38745826,36991386,36059962,35291150,35729223,37159880,37894692,40028023
 "09000","Connecticut",1,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",20673239,20271455,21164435,22019065,22881844,24129158,26473278,27800490,25706859,26022085,26636041,28680513,28956033,30663589,31618595,32077627,32499355,33720903
 "09000","Connecticut",1,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",12354036,12360278,12618281,12971916,13298368,13754314,14691745,16194731,15063517,15047452,15426870,15880987,15879944,16954824,17563041,17997836,18415012,19126715
 "09000","Connecticut",1,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",4197209,3774306,4195168,4405014,4483130,4950488,5664567,5327687,5244092,5300480,5455346,6437532,6655095,6903238,7042084,7077861,6665111,6837274
 "09000","Connecticut",1,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",4121994,4136871,4350986,4642135,5100347,5424356,6116966,6278072,5399250,5674153,5753824,6361995,6420994,6805527,7013470,7001930,7419233,7756914
 "09000","Connecticut",1,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",13978026,14914656,15796511,16759020,17345945,18359284,19334516,21253327,22629823,23319274,23828281,24859369,25221255,25905311,26220511,26948569,27504022,28598338
