GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "10000","Delaware",2,CAGDP2,1,"...","All industry total","Thousands of dollars",46448329,45757883,47761633,51449437,52154079,55067412,56278460,54787536,56871210,57447434,60357359,61975759,60666059,66890976,70969383,69549686,70774795,73481339
 "10000","Delaware",2,CAGDP2,2,"..."," Private industries","Thousands of dollars",42507736,41390161,43249966,46740154,47046556,49906481,50707210,48914328,50690929,51273342,54015829,55617137,54233996,60521276,64371315,62815951,63835590,66326919
 "10000","Delaware",2,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",287283,167635,266061,396397,411765,325234,337836,334876,397970,379630,370972,417001,581340,644145,474560,448612,609845,(D)
 "10000","Delaware",2,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",10316,9065,4966,4859,1787,1372,458,770,708,1290,103,212,2835,3047,3462,3569,4255,(D)
 "10000","Delaware",2,CAGDP2,10,"22","  Utilities","Thousands of dollars",578540,611268,606897,656114,633212,813261,837095,822683,880519,958401,917468,868938,880778,1017139,1051406,1058489,1084204,1078605
 "10000","Delaware",2,CAGDP2,11,"23","  Construction","Thousands of dollars",1620813,1664573,1753691,2106890,2351500,2500143,2325735,2252295,1847768,1588909,1706770,1727159,1854878,2081938,2380918,2530015,2684719,2782554
 "10000","Delaware",2,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",4182888,3352390,3494366,4638127,4563624,4904664,5303689,4463592,4396086,4115422,4151801,3792609,3901193,4021603,4886909,3975557,4269825,4802270
 "10000","Delaware",2,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",1126382,1011738,1001039,1206644,1231907,1323153,1463956,1438416,1285759,1369878,1251393,1424304,1270792,1257734,1418328,1336034,1347691,1433405
 "10000","Delaware",2,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",3056506,2340652,2493328,3431483,3331717,3581511,3839732,3025176,3110327,2745544,2900408,2368305,2630401,2763869,3468581,2639523,2922134,3368865
 "10000","Delaware",2,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",1406390,1441396,1701849,1917388,2023102,2329153,2293124,2287268,2146078,2217245,2273691,2298259,2282261,2359875,2277928,2295954,1977504,2004244
 "10000","Delaware",2,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",1891869,2005722,2148961,2294435,2391143,2459440,2470809,2366934,2312033,2351195,2401281,2474308,2563988,2562357,2611042,2682583,2698227,2774919
