GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "15000","Hawaii",8,CAGDP2,1,"...","All industry total","Thousands of dollars",42894335,45447095,48929141,53761757,58667924,62364956,65233493,66864703,65691973,68196860,70482579,73582724,75788324,77854317,82709997,85843778,89428851,93797900
 "15000","Hawaii",8,CAGDP2,2,"..."," Private industries","Thousands of dollars",33960177,35740094,38450972,42482360,46657918,49609281,51863615,52699132,51091359,53085281,54707122,57485314,59610961,61000168,65444048,68268959,71554023,75386620
 "15000","Hawaii",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",351521,377704,408977,422367,421394,435027,413761,430557,456582,480114,559064,536203,518928,471051,487801,464914,463977,451260
 "15000","Hawaii",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",38860,34048,38524,41958,41851,63931,93111,98209,103631,86921,69687,70040,63372,61900,64610,72064,68641,92265
 "15000","Hawaii",8,CAGDP2,10,"22","  Utilities","Thousands of dollars",897924,826297,910501,1028694,1054237,1253311,1281311,1450051,1427391,1691213,1964426,2038146,2047464,2080822,1858080,1789345,1876020,2030731
 "15000","Hawaii",8,CAGDP2,11,"23","  Construction","Thousands of dollars",2065193,2260648,2623899,3021504,3834378,4207906,4735625,4631329,4193777,3683277,3537842,3639028,3708115,3974363,4673996,5263524,5246937,5381430
 "15000","Hawaii",8,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",927798,979598,1084213,1059117,1142300,1185286,1204617,1370860,1327163,1259609,1352852,1426272,1540562,1671203,1656984,1568359,1779695,1999513
 "15000","Hawaii",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",238295,238072,229020,234054,293326,320594,350832,351626,338241,325486,352121,325912,367010,352732,358810,399534,416416,424417
 "15000","Hawaii",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",689503,741526,855193,825063,848974,864692,853785,1019234,988921,934122,1000731,1100360,1173552,1318471,1298174,1168825,1363278,1575095
 "15000","Hawaii",8,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",1590954,1631804,1735231,1832973,1951268,1991833,2105315,2197246,2073724,2143229,2239426,2343590,2454537,2517061,2677953,2645950,2758120,2846020
 "15000","Hawaii",8,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",3420783,3466968,3826581,4114661,4428426,4568498,4598190,4472882,4310391,4480223,4814127,5097784,5257207,5277860,5518002,5582580,5779426,6090156
 "15000","Hawaii",8,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",1841157,1860010,2040984,2379101,2723076,3001665,2962158,2713051,2722715,3181201,3103216,3397760,3612867,3744384,4225906,4555152,4947777,5230780
 "15000","Hawaii",8,CAGDP2,45,"51","  Information","Thousands of dollars",1150481,1260391,1230130,1491702,1550822,1694559,1840703,1757098,1750134,1932508,1584281,1533821,1694351,1643736,1797705,1816544,1890499,2062499
 "15000","Hawaii",8,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",9068886,9528950,10097448,11334116,12855225,13449607,14344911,14885035,14712108,15563365,15928152,16715003,16958948,17280625,18987887,20266592,21087499,22246258
