GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "16000","Idaho",7,CAGDP2,1,"...","All industry total","Thousands of dollars",37384056,38715329,40341783,43738991,47962890,50976283,53852072,55545973,53775042,55170679,56488098,57764366,61017742,63521843,66004257,69029358,72723239,77051983
 "16000","Idaho",7,CAGDP2,2,"..."," Private industries","Thousands of dollars",31801557,32852525,34202251,37194195,41020878,43665558,46274735,47672302,45752008,47185992,48514133,49561063,52628851,55003516,56928930,59694414,62986021,66869336
 "16000","Idaho",7,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",1933384,1959436,1802766,2529065,2211994,2279277,2898788,2978095,2194170,2643968,3438365,3444537,3799252,3989595,3611743,3416861,3257787,3133176
 "16000","Idaho",7,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",149801,152092,178278,209369,588438,543206,570190,910316,866658,1210376,1296837,727368,911941,1032325,554145,561735,267282,298077
 "16000","Idaho",7,CAGDP2,10,"22","  Utilities","Thousands of dollars",576542,635247,580931,635841,601347,717338,723213,826042,977709,1173766,1205180,1235708,1314707,1309983,1300917,1330371,1381561,1392920
 "16000","Idaho",7,CAGDP2,11,"23","  Construction","Thousands of dollars",2277402,2175331,2321241,2568325,3125362,3702214,4099377,3456369,2806941,2433304,2350571,2518957,3032768,3435927,3826523,4250822,4685162,5110391
 "16000","Idaho",7,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",5495548,5266506,5579122,6049815,6881410,5790273,5537977,6396315,6391629,6683484,6699143,6974067,6964417,7264271,7162384,7436026,8094456,8607404
 "16000","Idaho",7,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",3537615,3621407,3999388,4607149,5429197,4109065,3672076,4291668,4151686,4537655,4356812,4356573,4362660,4645789,4183397,4564036,5104233,5494503
 "16000","Idaho",7,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",1957933,1645099,1579734,1442666,1452213,1681207,1865902,2104647,2239942,2145828,2342331,2617493,2601757,2618483,2978987,2871990,2990223,3112902
 "16000","Idaho",7,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",2003172,2012522,2133472,2350203,2589617,2780346,3022704,3064864,2897431,3050400,3169194,3358685,3683892,3862386,4057046,4263154,4411706,4565117
 "16000","Idaho",7,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",3120347,3287917,3543599,3731121,4135378,4524896,4643921,4782750,4337348,4333829,4264360,4476209,4855610,5031815,5390445,5660936,5835759,5992831
 "16000","Idaho",7,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",1040440,1057770,1115816,1221572,1343179,1462363,1469344,1549975,1448665,1533715,1579447,1687961,1716872,1815102,1955955,1984986,2132782,2332248
 "16000","Idaho",7,CAGDP2,45,"51","  Information","Thousands of dollars",778693,859617,920534,1189475,1186830,1233183,1327973,1481243,1424491,1409843,1382881,1348845,1467048,1412878,1487520,1492899,1511408,1580971
 "16000","Idaho",7,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",5944134,6386051,6585997,6619630,7760982,8931870,9788285,9475673,9558104,9483128,9632112,10106215,10478054,10829807,11527113,12099840,13173589,14111169
 "16000","Idaho",7,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",1387237,1507639,1601917,1767015,2129351,2417039,2554500,2287486,2162873,2136928,2251960,2445395,2254643,2518100,2687177,2919486,3119216,3455252
 "16000","Idaho",7,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",4556897,4878411,4984079,4852616,5631631,6514831,7233785,7188186,7395231,7346201,7380152,7660820,8223411,8311707,8839936,9180354,10054373,10655917
