GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "17000","Illinois",3,CAGDP2,1,"...","All industry total","Thousands of dollars",502260324,514063755,529455367,558748448,586693857,621859868,647862114,646366579,644690074,662637775,688288924,720702331,739627925,765347726,792999411,806315510,826817837,865310411
 "17000","Illinois",3,CAGDP2,2,"..."," Private industries","Thousands of dollars",449989102,458401966,471726727,498386055,524007646,556843699,581222337,577407347,573534395,587996038,613968128,645806104,661959951,686853326,713854297,727454163,746358916,782671014
 "17000","Illinois",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",2084996,2459336,3329526,4936123,2468114,3508892,4969484,6645944,4819697,4825633,7815964,5911132,10902199,7763764,4449513,5849232,5945181,6616184
 "17000","Illinois",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",1249592,1203039,1251733,1362548,1637826,1868278,2041639,2045574,2071956,2033066,2091304,2323250,2323922,1985836,1765695,1654467,1905693,2480189
 "17000","Illinois",3,CAGDP2,10,"22","  Utilities","Thousands of dollars",9998583,9463687,9279788,10238885,10114150,10662808,10486594,11155503,11318108,12294663,12748998,12111048,12204555,13295766,13149297,13156444,13858565,14350545
 "17000","Illinois",3,CAGDP2,11,"23","  Construction","Thousands of dollars",23144451,23724694,25202380,27089641,29164984,30270619,30562838,28514238,23267930,21705364,21190821,20286600,23229764,25051748,27432997,28289806,29312960,30402415
 "17000","Illinois",3,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",74187654,70519623,73579881,77913060,80211485,82722333,85079055,80702287,82913103,85948348,94144600,103214999,97179760,101023946,100960402,98529106,101210729,107698542
 "17000","Illinois",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",40099723,38778975,39449150,43076008,44963480,47788787,48954222,47977990,42432082,46352210,50282457,54803254,52066468,51455796,50645099,49699869,50174747,52759859
 "17000","Illinois",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",34087931,31740648,34130730,34837051,35248005,34933546,36124833,32724297,40481021,39596137,43862143,48411746,45113292,49568150,50315303,48829237,51035982,54938683
 "17000","Illinois",3,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",34746685,34471319,35165518,37598654,40936154,43955976,46860258,48911896,46232657,49101634,52404028,56564295,58839411,60975733,63796364,63246355,64939878,67409185
