GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "18000","Indiana",3,CAGDP2,1,"...","All industry total","Thousands of dollars",204581148,212430337,223495307,236935839,243738257,255054619,269053577,272845640,261238250,280120672,288749070,297552734,308681652,324934547,330032193,338126051,351105581,366800537
 "18000","Indiana",3,CAGDP2,2,"..."," Private industries","Thousands of dollars",184404165,191551437,201594384,213903778,219695632,226711320,243233563,245721759,233439866,252091435,260606103,269370123,280749619,294391580,298682033,306144189,318325610,333000246
 "18000","Indiana",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",2062584,1867463,2498377,3272436,2127861,2404515,3110570,4005115,3096288,3233604,4658840,4087650,7285168,5391223,3708112,3690657,3920122,4053008
 "18000","Indiana",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",831228,815233,855135,823996,909696,1052642,1174439,1231759,1359183,1519797,1704865,1676159,1723691,1684559,1366305,1208458,1387031,1248762
 "18000","Indiana",3,CAGDP2,10,"22","  Utilities","Thousands of dollars",3958696,3791153,3852481,4203012,4345428,4909012,4711682,5057485,5570649,6184199,6340429,6343138,6561098,6825147,6600347,6737017,6738509,6933639
 "18000","Indiana",3,CAGDP2,11,"23","  Construction","Thousands of dollars",9372708,9292535,9891366,10677941,11300721,11508648,12199469,11493354,9828864,9475562,10328840,11908253,11641362,11477524,11844093,12573710,13523565,14070142
 "18000","Indiana",3,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",57763700,62014229,65659647,70111663,69026098,69063763,79639351,79414342,68947844,81540675,82909122,82299862,87679683,93205714,90958876,91615107,95642434,100734194
 "18000","Indiana",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",36386652,39519069,42484984,43616064,43769392,43259529,48061597,43392319,31909591,45010096,43937680,45705750,47371473,49170684,52889263,53845866,56019614,58841685
 "18000","Indiana",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",21377048,22495161,23174662,26495599,25256706,25804233,31577753,36022024,37038253,36530579,38971442,36594112,40308210,44035030,38069613,37769241,39622820,41892509
 "18000","Indiana",3,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",11148663,11309876,11627475,12334431,13371738,14155954,14730327,15368470,14366331,15366657,16288209,17174147,17890919,18518622,19490337,19448809,19916988,20635084
 "18000","Indiana",3,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",13364745,13652597,14509733,14928827,15623810,15926196,15702876,15618551,15567409,15997800,16364477,16806440,17391821,17774025,18490818,19397667,19526151,20112575
 "18000","Indiana",3,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",6698339,6726821,7137670,7637966,8478740,9425510,9235469,9555266,8763424,9255132,9589312,10002434,10269966,10754754,11338448,11638491,12375148,13166711
 "18000","Indiana",3,CAGDP2,45,"51","  Information","Thousands of dollars",4279301,4645618,5018952,5714899,5901949,5954503,6261552,6568639,6367447,6253888,6001502,6272452,6681800,6551466,6361183,6380431,6376379,6191660
 "18000","Indiana",3,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",32383167,32887707,34114475,34937263,36737668,37340691,39616600,36999342,39400437,40488319,41404818,44107851,42680125,48651429,51642133,52453040,54676193,57485464
 "18000","Indiana",3,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",10945920,11048812,12385763,13172801,13526269,13848149,15686566,11845192,13235312,13308169,13473262,14577137,12481125,17836574,19628720,19829799,20154860,21205398
 "18000","Indiana",3,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",21437248,21838895,21728712,21764462,23211399,23492543,23930035,25154150,26165125,27180151,27931555,29530714,30199000,30814855,32013413,32623241,34521333,36280066
 "18000","Indiana",3,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",14405366,14881588,15491038,16495433,17623962,18793091,19973511,21580897,20330031,21713217,23059361,24056025,25126508,26106175,27248470,28541461,29980292,31676252
 "18000","Indiana",3,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",6950381,7341046,7575844,8035233,8571015,9191649,9923056,11192610,10671328,11107664,11799933,12176650,12630311,12869266,13732416,14464786,15102249,16108798
 "18000","Indiana",3,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",2619162,2491435,2596135,2695228,2761093,2925527,3051095,3124826,2930121,3096824,3283973,3484987,3816980,4003204,4234680,4541836,4689437,4801840
 "18000","Indiana",3,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",4835824,5049107,5319060,5764972,6291853,6675916,6999359,7263460,6728582,7508729,7975455,8394388,8679217,9233704,9281373,9534838,10188606,10765614
 "18000","Indiana",3,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",15478573,16369586,17332640,18440363,19490838,20807749,21420512,23241485,24491523,25332566,26041348,27458667,28169025,28879720,30215947,32221138,33554934,34972357
 "18000","Indiana",3,CAGDP2,69,"61","   Educational services","Thousands of dollars",1670843,1744868,1864990,2058103,2193644,2414531,2478151,2737811,3064386,3203468,3299951,3432241,3449168,3568237,3619771,3768793,3681270,3816731
 "18000","Indiana",3,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",13807730,14624717,15467650,16382261,17297194,18393218,18942361,20503674,21427138,22129097,22741398,24026427,24719857,25311483,26596177,28452345,29873665,31155625
 "18000","Indiana",3,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",7176667,7442483,7814352,8299264,8499446,8894919,9015621,9182915,9109729,9399518,9572109,10500060,10826517,11400353,12017311,12614860,12942529,13538452
 "18000","Indiana",3,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",2530354,2665975,2878029,3041114,2986030,3013815,3082198,3142562,3163668,3275976,3202992,3428188,3574259,3676572,3698497,3736797,3805317,3963329
 "18000","Indiana",3,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",4646313,4776508,4936323,5258150,5513416,5881104,5933422,6040352,5946061,6123542,6369117,7071872,7252258,7723781,8318814,8878063,9137212,9575122
 "18000","Indiana",3,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",5480426,5854546,5791044,6026285,6257675,6474127,6441585,6404140,6240708,6330501,6342870,6676985,6821934,7170869,7399652,7623344,7765336,8181947
 "18000","Indiana",3,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",20176983,20878900,21900922,23032061,24042626,28343299,25820014,27123881,27798385,28029237,28142967,28182611,27932034,30542967,31350160,31981861,32779971,33800291
 "18000","Indiana",3,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",2893812,2682696,3353513,4096431,3037557,3457157,4285009,5236874,4455471,4753400,6363705,5763809,9008860,7075782,5074417,4899115,5307153,5301770
 "18000","Indiana",3,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",24513409,24962473,26137207,27263258,28995548,30082150,30433203,30987021,29933740,31364457,32652686,33980586,35282740,36292647,37981155,38846476,39443138,40747659
 "18000","Indiana",3,CAGDP2,89,"...","Transportation and utilities","Thousands of dollars",10657035,10517974,10990151,11840978,12824168,14334522,13947151,14612751,14334073,15439332,15929741,16345573,16831064,17579901,17938795,18375508,19113658,20100350
 "18000","Indiana",3,CAGDP2,90,"...","Manufacturing and information","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "18000","Indiana",3,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",70030220,73989461,78904525,84886035,83364377,84029568,96123829,96144570,83232179,95769638,99601667,99971923,108329904,111759020,107877386,109087932,114473152,120106106
 "18000","Indiana",3,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",114373945,117561976,122689859,129017743,136331255,142681752,147109735,149577189,150207687,156321797,161004435,169398200,172419714,182632560,190804647,197056257,203852458,212894140
 "18001","Adams, IN",3,CAGDP2,1,"...","All industry total","Thousands of dollars",945430,1020945,1079087,1112554,1057666,1118993,1151157,1065678,939055,1052976,1121670,1198368,1252740,1330399,1319598,1378062,1469296,1552083
 "18001","Adams, IN",3,CAGDP2,2,"..."," Private industries","Thousands of dollars",864617,938378,993050,1021917,963273,1008913,1053404,963027,834721,944858,1013854,1084254,1134129,1199242,1184707,1241131,1328444,1402455
 "18001","Adams, IN",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",15140,7991,28095,54771,29845,31653,38593,57490,33849,32660,86104,115524,117188,131378,65875,(D),94346,127076
 "18001","Adams, IN",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",3367,3372,3548,3783,3762,4647,4738,5014,5663,5553,4174,4821,3304,3020,2703,2962,3693,3589
