GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "25000","Massachusetts",1,CAGDP2,1,"...","All industry total","Thousands of dollars",296834139,303967113,315299764,330669907,345586010,361266021,379877186,388583181,391265121,409762498,425593239,444329765,454345703,473278992,502858042,519407637,540786043,569488030
 "25000","Massachusetts",1,CAGDP2,2,"..."," Private industries","Thousands of dollars",265380294,271140863,281408712,295340540,308533439,322268185,338211874,344872673,346701656,364511129,377300494,397573977,405934344,423232099,451127302,467208405,487353390,514122563
 "25000","Massachusetts",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",663445,682808,698178,753151,816373,979261,926166,928756,970064,1131628,990085,1009566,892512,711009,739216,702965,738377,706338
 "25000","Massachusetts",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",143517,135833,136316,158995,141365,160865,246376,148318,171255,160964,160988,158605,171129,212160,270801,348141,293758,322594
 "25000","Massachusetts",1,CAGDP2,10,"22","  Utilities","Thousands of dollars",3701727,3142999,3420023,3449014,3572564,4767305,4922229,5825002,4801433,5527952,5613488,5342821,5884780,6123452,6254733,5888720,6827854,7226785
 "25000","Massachusetts",1,CAGDP2,11,"23","  Construction","Thousands of dollars",12776594,13020954,13074900,14016402,14954651,15144855,15080462,13975297,12645550,12032232,12505341,13687780,14663285,15493355,17193279,18443103,19715291,21065386
 "25000","Massachusetts",1,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",36892707,36977696,40192785,38003587,38465782,41071029,44979395,42126234,41362970,44970952,45209843,46501993,46439284,48745024,51328099,50653685,51339770,52613611
 "25000","Massachusetts",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",26957593,26394088,29523342,27850749,28105740,29063736,31821134,29022949,27326996,31253583,31949692,32289147,31116688,31304923,32910722,33471797,34076990,34430295
 "25000","Massachusetts",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",9935114,10583608,10669444,10152838,10360042,12007293,13158260,13103286,14035974,13717369,13260151,14212845,15322596,17440101,18417377,17181888,17262780,18183317
 "25000","Massachusetts",1,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",17268707,16434796,17298025,18378670,18435928,19835386,20664823,21552944,21071059,21952991,22552473,22681655,23676323,24770917,25914280,26228502,26938634,27638699
 "25000","Massachusetts",1,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",15475070,15892076,16780905,17573712,18058904,17748762,17307398,17004088,17027095,17637410,17682887,17914612,18540837,18923753,19976493,20801987,21455358,22363518
 "25000","Massachusetts",1,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",4688749,4859623,5200297,5680243,5981894,6025965,6239537,6256069,6108373,6462531,6957983,7038695,7307980,7838862,8605932,9106388,9703534,10788458
 "25000","Massachusetts",1,CAGDP2,45,"51","  Information","Thousands of dollars",14148745,15424480,15094299,17255116,18772422,18780057,20118353,22925493,21953182,24185174,24732855,24201192,25457099,25802493,27513945,28587869,29892245,31732211
 "25000","Massachusetts",1,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",69753769,72196945,74181155,77652728,81110333,83179705,85542704,82046627,87734535,90290449,94446682,104486291,104363578,108782592,116103701,121618058,125994269,133471060
 "25000","Massachusetts",1,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",29500815,29768145,28917943,30538020,31247777,33114665,33282071,28573863,32881887,33171237,33290245,40706320,38911835,40956567,45689755,47827657,48960420,52829083
 "25000","Massachusetts",1,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",40252955,42428800,45263212,47114708,49862556,50065039,52260633,53472764,54852648,57119211,61156438,63779971,65451743,67826025,70413946,73790401,77033849,80641977
 "25000","Massachusetts",1,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",44441861,43754989,44832800,48481866,51944831,55436350,59830178,65069278,62304705,65843550,69638127,73832171,74951187,78159261,84466426,87699437,94270171,102444171
 "25000","Massachusetts",1,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",29831574,29926365,30370191,33149125,35402417,37877152,40537414,45535606,43816672,46560783,48542377,52252224,52583488,54967365,59282643,62684019,67631374,73353960
 "25000","Massachusetts",1,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",6779820,6265193,6503947,6931429,7287271,7685519,8354314,8443245,8318714,8511901,9850037,10031896,10508238,10777448,12092262,11416116,11917194,13472978
 "25000","Massachusetts",1,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",7830468,7563431,7958661,8401313,9255143,9873680,10938450,11090426,10169319,10770865,11245713,11548051,11859462,12414449,13091521,13599302,14721604,15617233
 "25000","Massachusetts",1,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",28837339,30773186,32811703,35078193,36744586,39342732,42134675,46316714,49403359,51970339,53856341,56563780,58122999,60085571,63057951,65800133,68000163,69668896
 "25000","Massachusetts",1,CAGDP2,69,"61","   Educational services","Thousands of dollars",7324624,7626363,8123452,8898003,9004507,9450590,10197392,11224334,12310755,13116276,13666323,14146663,14489194,14888054,15528871,16212969,16693845,17265594
 "25000","Massachusetts",1,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",21512715,23146823,24688251,26180190,27740080,29892142,31937283,35092380,37092604,38854063,40190018,42417117,43633805,45197517,47529081,49587164,51306318,52403302
 "25000","Massachusetts",1,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",9938493,10557288,10522069,11456288,11884868,11961117,12262273,12701729,13226035,14392524,14884514,15792112,16942210,18508489,20238565,21519181,22136405,23388252
 "25000","Massachusetts",1,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",2362024,2588205,2320829,2717980,2956750,2880607,2949645,3066935,3375090,3927208,3997045,4142864,4785152,5798575,6285394,6665378,6441248,6949005
 "25000","Massachusetts",1,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",7576469,7969083,8201240,8738308,8928118,9080510,9312628,9634793,9850945,10465316,10887469,11649248,12157058,12709914,13953171,14853803,15695157,16439247
 "25000","Massachusetts",1,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",6649569,7287191,7165258,7402573,7648938,7834796,7957304,7996125,7922041,7952434,8068886,8362703,8521142,9075159,9463880,9810236,10047558,10692583
 "25000","Massachusetts",1,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",31453845,32826250,33891052,35329366,37052571,38997836,41665312,43710508,44563465,45251369,48292745,46755788,48411360,50046893,51730740,52199232,53432653,55365467
