GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,1,"...","All industry total","Thousands of dollars",133514320,139646651,151643597,163574603,177135862,182089541,184527251,180580736,172385061,178501320,181347250,193548218,201397914,209362231,222888391,231189065,247655719,260484674
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,2,"..."," Private industries","Thousands of dollars",123281118,128730209,140183029,151761075,164872942,169151195,170574930,165953639,158006139,164109247,166808694,178920442,186096304,193224329,205687947,213096517,229097925,241336532
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",160725,181564,190256,217561,303052,364923,248834,362995,279724,188271,198940,182005,160316,116652,122223,79401,34164,37698
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",95786,100591,110467,146028,187303,241344,262610,322292,245747,247983,292544,301167,271380,313289,183534,163013,212392,175837
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,10,"22","  Utilities","Thousands of dollars",824009,849016,796641,551540,715334,861321,796147,686681,608567,686951,820731,828779,879499,918668,965621,903600,1478874,1556402
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,11,"23","  Construction","Thousands of dollars",6920730,7142880,8773991,11578417,13249617,14771002,12454023,8894297,7727093,8630007,6005522,8702945,9396496,9556529,10542224,11519401,12306628,13219816
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",17164561,16403043,17994841,18938538,20133192,21728025,21958530,21823666,21442603,21232349,21294998,22024296,23012094,23944245,25099679,26041205,27886094,29489014
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",12129318,11717338,12819039,13225725,14571849,15622319,16061279,15741445,15449839,15274522,15712129,16191925,16779271,17787499,18627554,19521954,21319255,22778997
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",5035244,4685705,5175803,5712813,5561343,6105706,5897251,6082221,5992765,5957827,5582869,5832371,6232823,6156746,6472124,6519251,6566839,6710018
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",12480274,12475050,13358516,14004040,15064826,16008324,17191496,17169789,15443052,16467254,17924002,17778021,18582857,19898312,20577778,19777907,20315902,21752762
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",10595609,11045101,11604708,11900340,12639296,13268498,13052143,11981022,11167471,11248834,11358038,11708187,12429095,12547392,13067107,13109514,13575508,14411118
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",1537448,1554185,1682095,1993176,2117701,2279153,2320645,2389052,2226583,2111856,2010098,2093848,2306521,2247211,2541741,2674888,2880891,3126488
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,45,"51","  Information","Thousands of dollars",4844993,5058421,5248566,6066234,6428263,6544045,7003788,6965326,6086825,6312921,6294415,6070801,6885957,7131469,8307567,9053008,10089231,10692554
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",33953028,37146454,41903287,45859335,50687377,45884287,45661578,42732327,42744058,45745881,47990850,54373329,56483916,57149942,58657813,61727436,69649988,71760638
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",9626394,10994684,13270949,14264630,15570023,15432413,14442676,10695978,13777993,16616647,16877230,18339163,18532732,16311880,17009915,18433080,23306956,23886846
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",24326634,26151770,28632338,31594705,35117355,30451874,31218902,32036349,28966065,29129234,31113620,36034165,37951184,40838062,41647898,43294357,46343032,47873792
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",19478326,20281765,21060544,21781208,23378730,25612155,26811909,28923878,26637012,27314546,28147275,28870731,28824138,31078453,35059484,35540492,36840230,39347171
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",10754207,11271588,11801455,12105406,13251167,14503558,15436223,17426554,16008437,16332583,17202383,17592299,17719477,19195506,22433852,21483877,21505758,22542285
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",2989597,2808403,2913381,2865760,2884433,3184207,2885000,2820035,2630647,2623324,2651078,2793433,3162385,3577949,3820496,4115728,4458784,5145968
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",5734523,6201774,6345707,6810042,7243130,7924389,8490686,8677289,7997928,8358640,8293815,8484999,7942275,8304997,8805136,9940888,10875688,11658918
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",6725971,7358498,7985012,8701255,9097937,9747366,10204931,11307219,12013937,12493157,13096162,13427757,13839591,14311306,15365487,16324870,17103001,18141858
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,69,"61","   Educational services","Thousands of dollars",750734,795275,982606,1074322,1100535,1187359,1216063,1392999,1577016,1657821,1707679,1693849,1738885,1828434,1902391,2031749,2071269,2231056
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",5975237,6563223,7002406,7626934,7997402,8560007,8988868,9914220,10436922,10835337,11388483,11733908,12100706,12482873,13463095,14293121,15031732,15910802
