GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "24000","Maryland",2,CAGDP2,1,"...","All industry total","Thousands of dollars",205449841,218299278,228689979,246762045,265929542,279468253,287872806,296435366,302507340,316451488,328058404,334821641,341255280,352046701,367096510,384889091,394258566,412584246
 "24000","Maryland",2,CAGDP2,2,"..."," Private industries","Thousands of dollars",165425717,174497768,182681587,198561724,214653559,225272488,230794513,236334142,239623163,250136535,258669169,264747527,269573849,278119607,290465301,306882031,313759823,329243482
 "24000","Maryland",2,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",712748,540209,620699,872895,784042,770283,775874,860900,839553,807612,955617,1043963,1254262,1112645,929955,870593,990988,823898
 "24000","Maryland",2,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",187808,193093,205065,252244,303006,367170,392685,351203,198544,385434,315262,291184,246825,255717,294373,256704,356936,327370
 "24000","Maryland",2,CAGDP2,10,"22","  Utilities","Thousands of dollars",3090976,2936077,3285094,3918255,3680497,4415343,5333312,5235596,5727273,6758099,6763953,6094082,6019992,6248746,6742816,6890017,7460386,7753511
 "24000","Maryland",2,CAGDP2,11,"23","  Construction","Thousands of dollars",11693147,11947640,12614283,14368809,15372982,16085028,16272413,15474681,14112703,13201210,13498808,14129567,14359804,15133257,15856120,17113177,17791650,18195823
 "24000","Maryland",2,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",14858588,15434586,14420510,15257061,14943997,15923736,16866361,17484994,18885871,19662153,19584336,18138418,19410949,19450258,19963203,21536697,22966645,24449842
 "24000","Maryland",2,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",6437989,7219465,7037393,7484119,7329020,7438520,7685891,8942783,8787034,8891374,9223690,8395741,8756872,8730857,8981028,9938959,10358836,10973635
 "24000","Maryland",2,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",8420598,8215121,7383117,7772942,7614977,8485215,9180470,8542211,10098837,10770779,10360646,9742677,10654077,10719401,10982175,11597738,12607809,13476207
 "24000","Maryland",2,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",10561390,10545636,11130901,12182783,13118264,13674615,14026102,14360839,13617190,14282781,14640272,15169966,15529982,15932691,16726455,16616101,16936645,17711937
