GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "23000","Maine",1,CAGDP2,1,"...","All industry total","Thousands of dollars",38500781,40183715,41838473,44526275,45874841,47921095,49148574,49973755,50556541,51710652,51866708,52873958,53719015,55795440,57525662,59753950,62040264,64856021
 "23000","Maine",1,CAGDP2,2,"..."," Private industries","Thousands of dollars",33200599,34565032,35896383,38266637,39343247,41093061,42050573,42602196,43081840,44154619,44499152,45503631,46200042,47974338,49488721,51362273,53435390,55943930
 "23000","Maine",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",855497,770330,772384,767497,745326,801783,763986,749419,706971,817611,827103,828622,828212,828475,897726,818990,832006,825610
 "23000","Maine",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",8290,8268,7626,9329,8553,9871,12504,21323,15747,19320,20397,31799,30480,23080,27185,24817,30151,38921
 "23000","Maine",1,CAGDP2,10,"22","  Utilities","Thousands of dollars",773219,694893,662534,706568,743090,869746,924883,926421,946742,986483,954250,941083,974339,995854,958227,964029,1004128,1014487
 "23000","Maine",1,CAGDP2,11,"23","  Construction","Thousands of dollars",1994930,2043108,2226842,2428990,2494527,2514250,2462342,2239473,2209644,2137660,2043497,1979139,1896855,1983023,2054451,2135678,2247672,2378214
 "23000","Maine",1,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",4663757,4500332,4494571,4925656,5064389,5212394,5392357,5408462,5472520,5570884,5359290,5423595,5388331,5518763,5432371,5762562,5928057,6169507
 "23000","Maine",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",2147150,2066490,2144885,2497239,2553567,2484011,2448144,2481107,2590461,2744842,2691097,2490290,2762609,2830049,2865983,3045249,3136046,3282299
 "23000","Maine",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",2516607,2433842,2349685,2428417,2510822,2728383,2944213,2927356,2882059,2826042,2668193,2933305,2625723,2688714,2566388,2717313,2792011,2887207
 "23000","Maine",1,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",2019581,2068611,2219877,2404249,2470856,2625279,2691532,2687478,2601889,2733892,2782512,2963526,3061218,3188433,3309958,3356031,3415173,3543910
