GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,1,"...","All industry total","Thousands of dollars",3621676,3749907,3930401,4168405,4427838,5006237,5406560,5688053,5568776,5861966,6015206,6304173,6545025,6809814,6836185,6825548,7087323,7568027
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,2,"..."," Private industries","Thousands of dollars",2754938,2804494,2942830,3146662,3381809,3916161,4264699,4525302,4365722,4596626,4748024,5015315,5252883,5500062,5507446,5457237,5671781,6118352
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",56044,25954,47864,58061,47532,17845,66545,(D),26100,(D),55716,19140,107175,84898,99324,92218,(D),97635
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",129027,114707,125299,153916,225063,355661,395621,482258,302651,335612,403836,446691,444655,407841,231825,147039,209574,235634
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,10,"22","  Utilities","Thousands of dollars",34182,34989,(D),(D),(D),(D),(D),(D),121509,(D),(D),(D),129347,171063,150150,161023,(D),184165
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,11,"23","  Construction","Thousands of dollars",161923,179049,185195,189338,216772,245574,289669,321874,314139,296668,287589,314327,337044,368228,364519,334410,324146,365046
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",243740,205356,193479,225393,236392,251892,276061,266357,255683,255224,270265,297556,314285,314466,341607,315967,322156,351737
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),132548,145481,158225,162393,159934,154845,154573,153153,(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),122676,124784,139331,151893,154532,186762,161394,169003,(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",157828,162836,183069,216708,223222,274849,300842,329373,305141,335108,372829,421380,435703,437424,418285,397814,(D),(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",333442,343508,358226,370576,402734,426579,423398,428552,425647,442925,449616,475130,492197,515405,534601,541858,550662,593724
