GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "30000","Montana",7,CAGDP2,1,"...","All industry total","Thousands of dollars",22851738,23880513,25637604,27939177,30529705,32933321,36074061,36862525,35983926,38054569,40579335,42005809,43141022,44495718,46152870,45457928,47559074,50326593
 "30000","Montana",7,CAGDP2,2,"..."," Private industries","Thousands of dollars",18912402,19712373,21135070,23229037,25629332,27725148,30545464,31072211,29994854,31880778,34261306,35568629,36721339,37855856,39363784,38443132,40313052,42976836
 "30000","Montana",7,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",708357,756867,873338,1206651,1189118,916473,1252189,1396409,1214824,1438891,1642994,1834379,2141147,2084277,2036799,1840089,1393877,1630246
 "30000","Montana",7,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",781298,721677,811641,1023729,1442599,1794188,2068916,2407427,1973727,2295576,2709924,2691364,2657526,2517083,1802754,1493824,1784779,1893021
 "30000","Montana",7,CAGDP2,10,"22","  Utilities","Thousands of dollars",660014,613760,644627,682616,677265,755770,809454,855794,946294,987103,1062213,1028550,1060604,1069877,1090734,1089450,1101769,1095475
 "30000","Montana",7,CAGDP2,11,"23","  Construction","Thousands of dollars",1333300,1380491,1568689,1761263,2064420,2281864,2604047,2367669,2174167,1963239,1958485,2092499,2196963,2349398,2549606,2641104,2724334,2933233
 "30000","Montana",7,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",1393342,1270221,1598099,1806741,1975946,2160218,2733476,2153173,1583212,1922575,2553439,2600683,2615106,3021598,3349982,2399031,2862131,3319983
 "30000","Montana",7,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",729593,657667,708563,743549,786777,755561,811336,785825,702000,686384,733505,811871,960972,1008501,1083213,1126004,1181956,1218333
 "30000","Montana",7,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",663749,612554,889536,1063192,1189169,1404656,1922140,1367348,881212,1236191,1819934,1788813,1654134,2013097,2266770,1273027,1680175,2101650
 "30000","Montana",7,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",1229920,1278420,1366448,1525851,1629728,1758215,1865069,1933417,1857573,1964554,2062273,2276187,2450638,2503268,2597142,2574206,2619756,2711801
 "30000","Montana",7,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",1762206,1877966,1930093,2041025,2280319,2425859,2517085,2517186,2521760,2730402,2716492,2729387,2703790,2759144,2899171,3017820,3125573,3236655
 "30000","Montana",7,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",972494,979101,1058980,1186992,1336361,1494031,1514710,1671640,1587928,1738241,1776560,1933887,2042681,2126878,2139369,2011482,2125513,2303717
 "30000","Montana",7,CAGDP2,45,"51","  Information","Thousands of dollars",630478,719027,741307,847019,880165,907308,935955,972775,1013333,1068976,1032623,992431,1069250,1017516,1067125,1089815,1140425,1204925
 "30000","Montana",7,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",4087590,4288052,4410513,4646328,5246386,5747346,6228978,6243807,6364020,6718525,7278588,7336984,7566485,7744352,8516435,8568756,9113167,9697667
 "30000","Montana",7,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",1158724,1265972,1324460,1410303,1536737,1606596,1725552,1753172,1697601,1739652,1821041,1900395,1903024,2080786,2321475,2282136,2379601,2572310
 "30000","Montana",7,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",2928865,3022080,3086053,3236025,3709649,4140750,4503426,4490635,4666419,4978873,5457547,5436589,5663461,5663566,6194959,6286620,6733566,7125357
 "30000","Montana",7,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",1510701,1639228,1745351,1822660,1982197,2190788,2468548,2692764,2633957,2788338,2957922,3213012,3079256,3203579,3376507,3432663,3608260,3852302
 "30000","Montana",7,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",996603,1101069,1152817,1202392,1304274,1415998,1562881,1733525,1679235,1756952,1852454,2036272,1974564,2079101,2191949,2259851,2368755,2514884
 "30000","Montana",7,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",70178,72981,75197,65448,69775,80633,108428,130610,138079,149993,176855,201597,206800,199012,217868,215445,219897,227026
 "30000","Montana",7,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",443920,465177,517338,554820,608149,694157,797238,828629,816643,881393,928612,975143,897892,925466,966690,957366,1019608,1110392
 "30000","Montana",7,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",2049135,2244368,2369469,2547304,2707504,2922080,3063857,3372251,3632224,3756349,3903566,4053724,4219033,4342084,4635220,4884539,5199607,5406578
 "30000","Montana",7,CAGDP2,69,"61","   Educational services","Thousands of dollars",107489,110858,116899,131360,134484,154303,161017,171721,189389,195069,215090,219608,227516,238490,247420,255678,256403,263736
 "30000","Montana",7,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",1941645,2133510,2252570,2415944,2573021,2767776,2902840,3200529,3442835,3561280,3688476,3834116,3991518,4103593,4387800,4628862,4943204,5142842
 "30000","Montana",7,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",1124731,1221622,1305937,1390895,1425757,1555165,1651943,1656510,1656246,1663328,1753873,1901159,2017725,2169441,2311363,2382417,2459281,2568511
 "30000","Montana",7,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",278015,305301,340734,351928,377331,423873,463180,476844,479606,468439,478777,488595,498937,555308,560471,585209,623509,641606
 "30000","Montana",7,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",846716,916321,965203,1038967,1048426,1131293,1188764,1179667,1176640,1194889,1275096,1412564,1518788,1614133,1750892,1797208,1835773,1926905
 "30000","Montana",7,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",668837,721572,710580,739963,791565,815843,831236,831389,835590,844681,852354,884381,901135,947360,991577,1017936,1054580,1122723
 "30000","Montana",7,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",3939337,4168140,4502533,4710140,4900373,5208173,5528597,5790314,5989072,6173790,6318029,6437180,6419682,6639861,6789087,7014796,7246022,7349757
 "30000","Montana",7,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",1489655,1478544,1684979,2230380,2631717,2710661,3321106,3803835,3188551,3734468,4352918,4525744,4798673,4601360,3839553,3333913,3178656,3523267
 "30000","Montana",7,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",2992126,3156386,3296541,3566876,3910047,4184074,4382154,4450603,4379333,4694956,4778765,5005575,5154428,5262412,5496312,5592026,5745329,5948455
 "30000","Montana",7,CAGDP2,89,"...","Transportation and utilities","Thousands of dollars",1632507,1592861,1703607,1869608,2013627,2249801,2324164,2527434,2534222,2725345,2838773,2962437,3103285,3196756,3230103,3100932,3227282,3399192
 "30000","Montana",7,CAGDP2,90,"...","Manufacturing and information","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "30000","Montana",7,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",4216297,4129256,4851766,5798385,6672083,7152743,8658628,8324677,6945930,7620281,8864841,9218926,9610742,9972356,9739142,8374048,8765121,9776483
 "30000","Montana",7,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",14696105,15583116,16283304,17430652,18957249,20572405,21886835,22747534,23048924,24260497,25396464,26349703,27110598,27883500,29624642,30069084,31547931,33200353
 "30001","Beaverhead, MT",7,CAGDP2,1,"...","All industry total","Thousands of dollars",217380,193864,214358,240452,277430,274362,294328,278044,292565,282018,298643,334351,379348,437074,470206,451430,438440,381723
 "30001","Beaverhead, MT",7,CAGDP2,2,"..."," Private industries","Thousands of dollars",173971,149082,163934,187677,222647,217599,234955,219578,232019,223691,237101,271834,315304,371948,400238,377376,363211,306661
 "30001","Beaverhead, MT",7,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",28450,(D),(D),24552,36069,6076,9624,3493,14227,3734,10137,39642,75957,129708,147932,130968,102393,34079
 "30001","Beaverhead, MT",7,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",14227,12451,14318,16299,21568,25916,30303,27870,29378,27798,27957,24104,20932,21584,20936,17598,24531,24778
 "30001","Beaverhead, MT",7,CAGDP2,10,"22","  Utilities","Thousands of dollars",1828,1903,1831,1852,1877,2028,2032,2143,2173,2215,2310,2261,2514,2441,2462,2623,2605,2300
