GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "33000","New Hampshire",1,CAGDP2,1,"...","All industry total","Thousands of dollars",46629676,48678462,51378400,54126718,56352078,59411640,60732656,60918670,61937358,64151592,65430461,67689190,70181938,72340060,76033326,78477950,80900194,84463865
 "33000","New Hampshire",1,CAGDP2,2,"..."," Private industries","Thousands of dollars",41303624,43093407,45393807,47887952,49764798,52461107,53381717,53238741,54246741,56110608,57487130,59742675,62046197,63968368,67629038,70030760,72354073,75697254
 "33000","New Hampshire",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",150668,145727,167724,188472,159466,167993,163371,183120,150788,165555,185960,221858,229109,223443,234017,201805,213395,207674
 "33000","New Hampshire",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",34941,48474,50357,53710,63564,85248,107031,93962,69595,70782,49936,67352,44902,46690,41661,50879,57376,59505
 "33000","New Hampshire",1,CAGDP2,10,"22","  Utilities","Thousands of dollars",828680,787801,868121,1004723,981804,1003478,982154,1059742,1308635,1350985,1307003,1254470,1278003,1303614,1307926,1273494,1335955,1404307
 "33000","New Hampshire",1,CAGDP2,11,"23","  Construction","Thousands of dollars",2292158,2313981,2416231,2718359,2813105,2822402,2578505,2216017,2074746,2002945,2023787,2082228,2061646,2110925,2240029,2362585,2522726,2620435
 "33000","New Hampshire",1,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",6524082,6542919,6907541,6913291,6462591,7018120,7114689,6619101,6565346,7028325,7317252,7254635,7955902,7399333,8524002,8921540,9251842,9693042
 "33000","New Hampshire",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",4670923,4896395,5282067,5382108,4910444,5397811,5463625,5006203,4830845,5347414,5725360,5609688,6208798,5575837,6582472,6814635,7134586,7475579
 "33000","New Hampshire",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",1853159,1646523,1625475,1531183,1552147,1620309,1651065,1612897,1734501,1680912,1591892,1644947,1747104,1823496,1941530,2106905,2117255,2217464
 "33000","New Hampshire",1,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",2976827,2971202,3051870,3259096,3451274,3638797,3792126,3925908,3735680,3934641,4069196,4315653,4587701,4797707,5191752,5162436,5340264,5427889
