GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "35000","New Mexico",6,CAGDP2,1,"...","All industry total","Thousands of dollars",55986170,58055525,62895907,69740669,73684166,77426132,80572788,83724204,82017410,83989156,86625043,87601553,88411159,92480729,90969042,91043598,94267138,100296830
 "35000","New Mexico",6,CAGDP2,2,"..."," Private industries","Thousands of dollars",42097228,43064990,47043033,52898219,56142427,59454274,62189819,64601581,62247229,63681424,65960075,66533588,67093939,70915583,69132234,68726211,71717641,77194488
 "35000","New Mexico",6,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",1030303,815686,858420,1239226,1207823,1000160,1293237,1183645,853400,1301095,1571742,1416473,1423967,1605694,1301684,1360559,1397623,1162261
 "35000","New Mexico",6,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",3753588,3381499,4439138,5191143,7115153,7918488,8657785,10587825,7166287,8139702,9493775,9239548,10184585,11274182,7369348,5948212,8192425,10535713
 "35000","New Mexico",6,CAGDP2,10,"22","  Utilities","Thousands of dollars",994457,880934,906544,981267,994090,1187104,1187348,1261839,1368946,1483218,1559907,1552886,1594496,1656400,1619707,1643380,1646625,1694064
 "35000","New Mexico",6,CAGDP2,11,"23","  Construction","Thousands of dollars",2511731,2466901,2731586,3135466,3676546,4114807,4416679,4331690,3689198,3195394,3009460,2932057,2970496,3068680,3242634,3303683,3472642,3744211
 "35000","New Mexico",6,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",5186347,4522382,6198407,8617701,7296519,6324834,4981482,3518639,5148846,4425435,3772721,3758580,3290922,3671220,4111972,3849234,3837611,4177628
 "35000","New Mexico",6,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",3838926,3233647,4952483,7589929,6337855,5467160,3994923,2398330,4109473,3442801,2780032,2527047,1935516,2133475,2018460,2054077,1866030,1938076
 "35000","New Mexico",6,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",1347421,1288736,1245924,1027771,958664,857673,986559,1120310,1039372,982634,992689,1231533,1355407,1537745,2093512,1795158,1971580,2239552
 "35000","New Mexico",6,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",2135672,2147058,2196176,2360558,2497627,2715132,2802509,2891875,2574130,2732901,2738686,2888509,2970067,3068442,3119348,3044142,3045270,3146098
 "35000","New Mexico",6,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",3855594,4031192,4220128,4492793,4539418,4841797,4950284,4902786,4918404,4879631,4843056,5058992,5126468,5298036,5442480,5530801,5501519,5665877
 "35000","New Mexico",6,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",1319666,1387099,1483848,1658143,1807106,2004515,2010142,2170707,1908100,1989244,2216977,2266563,2304110,2495405,2552381,2379249,2484986,2832453
 "35000","New Mexico",6,CAGDP2,45,"51","  Information","Thousands of dollars",1700373,1827075,1868089,1934760,1994804,2156830,2423419,2978808,2836784,2890508,2704957,2724391,2600139,2463544,2657460,2857111,2694457,2760942
 "35000","New Mexico",6,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",7744155,8662469,8358537,8604836,9556604,10120222,10973261,11118408,11663074,12251287,13427414,13641022,13536287,14498066,15214415,15479105,15635377,16531022
 "35000","New Mexico",6,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",1675188,1945903,1929512,2026013,2208196,2297153,2296108,2153662,2235442,2250835,2400767,2491397,2306059,2898092,3179845,3279840,3179410,3408256
 "35000","New Mexico",6,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",6068967,6716567,6429025,6578823,7348408,7823069,8677153,8964746,9427631,10000453,11026647,11149625,11230228,11599975,12034570,12199264,12455967,13122767
 "35000","New Mexico",6,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",5063114,5451317,5780407,6111744,6498267,7490007,8419719,8956079,8893137,9029236,9132993,9095026,8993921,9232080,9428379,9648569,10032869,10549164
 "35000","New Mexico",6,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",3205892,3520903,3786179,4022688,4198367,5045754,5778643,6157592,6161041,6262278,6277972,6264502,6163888,6392788,6585713,6792028,6989644,7311118
 "35000","New Mexico",6,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",371604,374955,353925,371792,443827,443309,455705,432917,435140,448169,456079,475222,475858,485520,499934,505147,520650,556987
 "35000","New Mexico",6,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",1485618,1555458,1640303,1717264,1856072,2000944,2185371,2365570,2296955,2318789,2398942,2355302,2354175,2353772,2342731,2351394,2522574,2681059
 "35000","New Mexico",6,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",3306019,3697648,4069886,4444082,4701202,5011534,5281247,5802471,6229151,6430062,6634582,6884126,6901656,7019773,7404289,7855765,7871512,8125932
 "35000","New Mexico",6,CAGDP2,69,"61","   Educational services","Thousands of dollars",285246,287636,328197,390151,405727,420543,441707,493403,536474,568525,569428,581071,566672,565284,562769,591012,557486,562113
 "35000","New Mexico",6,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",3020773,3410013,3741689,4053931,4295475,4590991,4839541,5309068,5692677,5861536,6065155,6303055,6334984,6454488,6841520,7264752,7314025,7563819
 "35000","New Mexico",6,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",2080747,2258088,2404083,2506092,2601977,2746898,2904677,2971646,3109899,3110662,3052158,3178799,3332490,3574982,3681354,3838638,3860589,4085442
 "35000","New Mexico",6,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",328689,361861,444774,467659,511349,508257,590256,580455,632976,639676,632549,668274,673067,695032,659644,686127,676723,729116
 "35000","New Mexico",6,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",1752058,1896227,1959310,2038433,2090628,2238641,2314421,2391190,2476923,2470986,2419610,2510525,2659423,2879951,3021710,3152511,3183866,3356326
 "35000","New Mexico",6,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",1415461,1535641,1527783,1620410,1655291,1821947,1888029,1925162,1887875,1823049,1801646,1896616,1864335,1989078,1986783,1987763,2044136,2183682
 "35000","New Mexico",6,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",13888942,14990535,15852874,16842450,17541738,17971858,18382970,19122623,19770182,20307731,20664967,21067965,21317220,21565146,21836808,22317387,22549497,23102342
 "35000","New Mexico",6,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",4783891,4197185,5297558,6430369,8322976,8918648,9951022,11771470,8019686,9440797,11065517,10656021,11608552,12879877,8671032,7308771,9590049,11697974
 "35000","New Mexico",6,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",5991266,6178249,6416305,6853350,7037045,7556929,7752793,7794661,7492534,7612533,7581742,7947501,8096535,8366478,8561828,8574943,8546789,8811975
 "35000","New Mexico",6,CAGDP2,89,"...","Transportation and utilities","Thousands of dollars",2314123,2268033,2390392,2639410,2801196,3191619,3197490,3432546,3277045,3472463,3776884,3819450,3898606,4151805,4172088,4022629,4131611,4526517
 "35000","New Mexico",6,CAGDP2,90,"...","Manufacturing and information","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "35000","New Mexico",6,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",12481969,11186469,14227552,18183536,19296042,19358288,19349183,19621800,16857730,17061626,17847698,17346658,17869971,19619776,16025638,14461688,16900301,19619813
 "35000","New Mexico",6,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",29615259,31878521,32815482,34714684,36846386,40095986,42840635,44979781,45389499,46619798,48112377,49186930,49223969,51295807,53106597,54264523,54817340,57574676
 "35001","Bernalillo, NM",6,CAGDP2,1,"...","All industry total","Thousands of dollars",22314390,23140761,24690317,27039146,27962373,29197989,29929150,30669612,31242682,30987497,31402329,32249934,32104902,33545153,34800526,36250575,36364221,37865783
 "35001","Bernalillo, NM",6,CAGDP2,2,"..."," Private industries","Thousands of dollars",17295802,17731347,18976680,20950668,21677570,22463050,22793071,23145645,23528190,23149241,23376450,24054192,23843323,25156117,26233007,27346001,27306681,28565850
 "35001","Bernalillo, NM",6,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",6495,7751,5626,(D),5681,6052,8754,3984,3682,3731,6556,5822,4775,5389,6622,7312,9075,10741
 "35001","Bernalillo, NM",6,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",5402,17644,17871,3500,7145,9787,14264,21630,24099,24649,31915,32691,29300,16931,11791,13705,18076,14864
