GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "32000","Nevada",8,CAGDP2,1,"...","All industry total","Thousands of dollars",80426589,84733493,90778831,104420571,117856070,127575698,131599815,129372375,121109496,123598121,126657125,128042952,130621388,135153185,144232389,151215081,158847584,169309897
 "32000","Nevada",8,CAGDP2,2,"..."," Private industries","Thousands of dollars",72037136,75864115,80995974,93712111,106574900,115391880,118520440,115584095,106906546,108887874,112011324,113418036,115607445,119613946,127778354,134126100,141248539,151213641
 "32000","Nevada",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",209002,177902,189115,241329,245428,256463,218969,290107,265397,287296,372655,294824,310863,392751,313439,245682,286429,255313
 "32000","Nevada",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",1256674,1326879,1506078,1844403,2197320,3289034,3456215,4069910,3946322,5145714,6273946,5712781,4382574,3429976,2753958,3180633,4348162,4004583
 "32000","Nevada",8,CAGDP2,10,"22","  Utilities","Thousands of dollars",1501471,1559348,1626875,1873149,1738746,2054137,2085912,2130287,2380551,2404764,2291555,2276331,2334762,2444510,2477989,2375709,2382518,2454016
 "32000","Nevada",8,CAGDP2,11,"23","  Construction","Thousands of dollars",6593954,6649312,7555731,9725062,12486020,13418735,13209600,10683590,9286635,7820188,7080096,5236374,4957675,5324370,6218392,6826134,7665085,8560161
 "32000","Nevada",8,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",2870969,3157096,3418266,4512593,5040231,5304382,6182175,6180883,5515671,5173700,5299793,6020362,6161258,6174476,5946596,6169314,6819954,7919187
 "32000","Nevada",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",1648086,1992385,2204345,3236766,3753401,3845070,4704831,4772324,4052289,3811484,3972064,4687895,4675911,4504310,4268412,4332762,4909624,5787279
 "32000","Nevada",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",1222883,1164711,1213920,1275827,1286830,1459311,1477344,1408559,1463381,1362216,1327729,1332466,1485347,1670166,1678184,1836551,1910330,2131908
 "32000","Nevada",8,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",3492807,3559734,3679899,4263895,4832518,5105374,5271906,5376060,4836008,4785969,4960902,5314218,5428722,5700200,5961225,6227575,6685059,7022923
 "32000","Nevada",8,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",6346598,6654679,6738750,7450641,8707317,9017386,8854124,8330152,7604937,7776634,8197229,8499736,8990236,9418384,9918906,10599912,10792066,11568333
