GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "39000","Ohio",3,CAGDP2,1,"...","All industry total","Thousands of dollars",395622512,411966967,424915480,445541064,465809335,477180388,490964988,495742598,480322008,497208222,525388442,540819313,561045482,593355059,610772283,622835160,645325978,675905220
 "39000","Ohio",3,CAGDP2,2,"..."," Private industries","Thousands of dollars",350328288,364913351,375978496,394548087,413298708,423174650,434833280,437451950,421125748,435339968,463422961,477613247,496803359,527830637,543506255,554195138,574957381,603475838
 "39000","Ohio",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",1926003,1773091,2013238,2865851,2267410,2385302,2741537,2754525,3009583,2972522,4435549,3762888,5029161,4370815,3049736,2772108,3459092,3798062
 "39000","Ohio",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",1414370,1547042,1667614,1934523,2347630,2693186,2985892,3518769,3162910,3057940,3499622,3105648,4292338,7730677,7468910,7598304,10702496,13493711
 "39000","Ohio",3,CAGDP2,10,"22","  Utilities","Thousands of dollars",7327836,6812852,6580514,6684535,6493475,7366243,8439553,8787557,9544438,10028037,10137136,9898276,10088780,10487664,10518580,10582215,10653548,11056310
 "39000","Ohio",3,CAGDP2,11,"23","  Construction","Thousands of dollars",16367678,16331328,17016786,18451126,19030866,18709750,18554171,17238982,15957782,14519012,15576876,17194858,18271264,19556911,20938264,22333052,24584435,25226520
 "39000","Ohio",3,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",82037399,83777692,84153488,89074800,91254229,92818381,92625803,86510850,75385437,81423969,91163532,91579867,94152308,104944088,103556954,102264172,104619301,111490624
 "39000","Ohio",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",53624751,54095498,54367231,58969064,61346489,61021804,60167980,56258161,38722996,44358575,50129593,52122481,53575231,57232007,58958612,58964455,60036970,62521013
 "39000","Ohio",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",28412648,29682194,29786257,30105736,29907739,31796577,32457824,30252689,36662440,37065394,41033939,39457386,40577077,47712081,44598342,43299717,44582331,48969611
 "39000","Ohio",3,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",23169694,23031641,23822869,25475776,27331460,29482016,30843345,31927104,29672619,31286420,32323059,34048762,35718926,37498596,38937959,38971541,40189182,41725610
