GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "40000","Oklahoma",6,CAGDP2,1,"...","All industry total","Thousands of dollars",96766988,99162964,105243278,113148659,124563279,137083631,144893270,159660040,145736417,152911407,165035604,173483741,182618396,195023199,185936718,178913207,188368119,202554126
 "40000","Oklahoma",6,CAGDP2,2,"..."," Private industries","Thousands of dollars",80805178,82147411,87524271,94571693,104546178,115678497,121965521,135307410,120133858,126445916,138134292,146833272,155129224,167119006,156881734,149684616,158801795,171936264
 "40000","Oklahoma",6,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",1453726,1683265,1765060,2455208,2311953,1816146,1862763,2056751,1337616,2094897,2724720,3057461,3064241,3423973,3084803,2401723,2712809,2462373
 "40000","Oklahoma",6,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",5988252,5602324,8043304,10607838,15218879,18649098,21592779,29201327,18594998,22068200,26372560,24737889,29867595,34566950,20794866,17240360,23392687,29348077
 "40000","Oklahoma",6,CAGDP2,10,"22","  Utilities","Thousands of dollars",2481340,2229376,2400582,2499897,2508304,2857082,3063554,3263343,3241133,3605399,3883594,4132843,4051530,4443282,4113725,4029981,3965487,4090188
 "40000","Oklahoma",6,CAGDP2,11,"23","  Construction","Thousands of dollars",4106392,4045838,4200698,4463345,4911461,5321804,5433521,5630961,5739280,5957382,6175044,6678825,6992915,7038566,7174946,6988126,6889085,7348684
 "40000","Oklahoma",6,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",12423102,11562016,12617378,12640272,13839612,16180588,15901583,18577574,15380882,14150832,15954533,17727868,16971738,18053257,18108721,15755394,16650441,18465079
 "40000","Oklahoma",6,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",7996592,7333887,7387976,7713129,8382490,9011565,9526077,10232949,8454893,8288133,9261652,9777621,10361963,10809706,10295599,9605029,9896259,10789419
 "40000","Oklahoma",6,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",4426509,4228129,5229403,4927143,5457122,7169024,6375506,8344625,6925988,5862699,6692881,7950247,6609775,7243551,7813122,6150366,6754182,7675660
 "40000","Oklahoma",6,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",5178777,5345721,5365238,5912686,6292187,7066692,7501304,7857594,7276088,7672205,8657859,10056803,10653489,11268499,11243671,10601212,10635759,10981410
 "40000","Oklahoma",6,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",7007043,7162706,7419735,7432103,7891876,8497509,8553895,8556049,8744547,9122172,9409016,10074748,10446682,10602217,10854334,10738991,10692732,11051192
 "40000","Oklahoma",6,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",3291593,3172322,3368150,3665469,3935661,4401287,4649308,5054330,4401060,4699488,5640430,7287459,8410910,10165505,11633882,11975933,12433075,13343142
 "40000","Oklahoma",6,CAGDP2,45,"51","  Information","Thousands of dollars",3492013,3798027,3604737,3910176,4328488,4279149,4369121,4449794,4136897,3965993,3851868,3664997,3981952,4067196,4344031,4531222,4615936,4787057
 "40000","Oklahoma",6,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",14219691,15214648,15465881,16117037,17320065,18664494,19843901,19143504,19279707,20088274,21343160,23460463,23553223,24632049,25225792,25064832,25447688,26537320
 "40000","Oklahoma",6,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",4435952,4949160,5136636,5417521,5702578,5825969,5837662,5025963,5241071,5310953,5664858,6394317,6319739,7128602,7195908,7317926,7461347,7625326
 "40000","Oklahoma",6,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",9783739,10265488,10329245,10699516,11617487,12838525,14006239,14117541,14038636,14777321,15678302,17066146,17233485,17503447,18029884,17746905,17986341,18911994
 "40000","Oklahoma",6,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",7803113,8014350,8512039,9217948,9785618,10623833,11488836,12630665,11909831,12546713,13454796,14314704,14763775,15386349,15761148,15209611,15892278,16925673
 "40000","Oklahoma",6,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",3847639,4098567,4273156,4477025,4810699,5116482,5582181,6133772,5989325,6233067,6628331,7044348,7315741,7578550,7870029,7686264,7861212,8418779
 "40000","Oklahoma",6,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",949371,915362,1036412,1149724,1108698,1295744,1348946,1538371,1491370,1669335,1998586,1984743,2089957,2162481,2312229,2195480,2282665,2352141
 "40000","Oklahoma",6,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",3006104,3000421,3202471,3591199,3866221,4211607,4557709,4958523,4429137,4644311,4827878,5285613,5358077,5645318,5578889,5327866,5748401,6154753
 "40000","Oklahoma",6,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",6936606,7440267,7872203,8466842,8899703,9489931,9918277,10727505,11478704,11923110,12354300,12839897,13215920,13673085,14363154,14776500,14877928,15424320
 "40000","Oklahoma",6,CAGDP2,69,"61","   Educational services","Thousands of dollars",562955,588157,618469,683422,706371,743460,775057,832583,929428,968945,997377,1046768,1059195,1110765,1086693,1154729,1121179,1130678
 "40000","Oklahoma",6,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",6373650,6852110,7253734,7783420,8193333,8746471,9143220,9894921,10549276,10954165,11356923,11793130,12156725,12562321,13276461,13621771,13756749,14293642
 "40000","Oklahoma",6,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",3611256,3882939,3989534,4193886,4252935,4635196,4544189,4883130,5383659,5244261,4991126,5277288,5571559,6038088,6326176,6500580,6640369,6998918
 "40000","Oklahoma",6,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",454570,490903,527416,573185,580449,709287,707613,722629,831399,874214,856637,960792,944056,1136583,1134965,1240756,1292348,1368665
 "40000","Oklahoma",6,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",3156686,3392036,3462118,3620701,3672486,3925910,3836576,4160501,4552259,4370047,4134489,4316496,4627503,4901506,5191212,5259824,5348020,5630253
 "40000","Oklahoma",6,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",2812274,2993613,2899732,2988986,3049437,3195688,3242489,3274882,3229455,3306991,3321287,3522026,3583695,3759989,3852485,3870150,3955521,4172833
 "40000","Oklahoma",6,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",15961810,17015553,17719007,18576966,20017101,21405134,22927749,24352630,25602559,26465491,26901311,26650469,27489171,27904193,29054984,29228592,29566325,30617862
 "40000","Oklahoma",6,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",7441978,7285589,9808364,13063046,17530832,20465244,23455542,31258078,19932614,24163097,29097280,27795351,32931836,37990923,23879669,19642084,26105496,31810449
 "40000","Oklahoma",6,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",12185820,12508426,12784973,13344789,14184062,15564201,16055199,16413643,16020635,16794377,18066875,20131551,21100171,21870715,22098005,21340203,21328491,22032602
 "40000","Oklahoma",6,CAGDP2,89,"...","Transportation and utilities","Thousands of dollars",5772933,5401697,5768732,6165366,6443965,7258369,7712862,8317673,7642193,8304888,9524024,11420303,12462440,14608788,15747607,16005914,16398561,17433330
 "40000","Oklahoma",6,CAGDP2,90,"...","Manufacturing and information","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "40000","Oklahoma",6,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",23971472,22893443,26626440,30166663,36281905,41967636,44790646,55466614,41052776,44271310,51226857,52202044,56896489,63082746,49163336,42385604,49645022,57624212
 "40000","Oklahoma",6,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",56833707,59253967,60897830,64405030,68264273,73710861,77174875,79840796,79081082,82174605,86907435,94631228,98232735,104036260,107718398,107299012,109156773,114312052
 "40001","Adair, OK",6,CAGDP2,1,"...","All industry total","Thousands of dollars",314486,331582,323162,309242,354333,372374,378369,364661,358014,419718,428448,418827,425164,417583,446628,438420,441791,436817
 "40001","Adair, OK",6,CAGDP2,2,"..."," Private industries","Thousands of dollars",254114,269540,259151,243667,282854,293905,291275,272184,264538,324600,339353,328089,328449,319855,350700,349449,371379,362526
 "40001","Adair, OK",6,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",(D),(D),(D),35539,(D),(D),15896,2312,3687,53849,64770,56695,69796,47176,66589,48701,54628,(D)
 "40001","Adair, OK",6,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",22,41,159,71,69,82,76,75,65,64,64,62,58,252,460,45,49,29
 "40001","Adair, OK",6,CAGDP2,10,"22","  Utilities","Thousands of dollars",2421,2345,2603,2311,2338,2562,2444,2523,2844,2595,2699,2649,2827,2916,3049,3309,3432,3412
 "40001","Adair, OK",6,CAGDP2,11,"23","  Construction","Thousands of dollars",(D),(D),(D),9879,(D),(D),10758,9651,11700,13659,16380,19071,17318,16181,18144,24243,27594,(D)
 "40001","Adair, OK",6,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",93814,100389,110466,80503,105641,115510,112786,106676,90051,88369,87661,84892,79643,89077,89658,92259,94435,93009
 "40001","Adair, OK",6,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),52380,48683,62105,60882,61622,62971,59528
 "40001","Adair, OK",6,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),32513,30960,26972,28776,30637,31464,33481
 "40001","Adair, OK",6,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",3610,4668,4226,3499,(D),(D),(D),(D),5867,7132,6617,6259,5225,6125,7239,7883,9233,9381
 "40001","Adair, OK",6,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",21923,22857,19850,15817,17772,19493,19450,19490,19674,20198,20247,20793,20912,21823,22909,24012,29168,32360
 "40001","Adair, OK",6,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",(D),(D),(D),(D),7545,10476,10262,9699,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "40001","Adair, OK",6,CAGDP2,45,"51","  Information","Thousands of dollars",2410,2432,(D),(D),(D),1800,1796,1407,1733,(D),(D),1769,2121,2099,2274,2376,2610,2824
 "40001","Adair, OK",6,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",32652,37477,37427,37894,36851,47759,53554,48007,49758,54006,58298,58660,57672,61649,63900,65230,65186,69439
 "40001","Adair, OK",6,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",(D),8821,8892,9375,9126,8345,7934,7412,6877,7355,8304,8846,7838,8457,8921,9789,9375,10057
 "40001","Adair, OK",6,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",(D),28656,28536,28520,27726,39414,45620,40595,42881,46650,49994,49814,49834,53192,54979,55441,55811,59382
 "40001","Adair, OK",6,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",9925,10693,14127,14885,17856,16899,19538,15746,13635,15694,18050,(D),(D),(D),(D),(D),(D),(D)
 "40001","Adair, OK",6,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",3487,3670,3411,3381,3302,3525,3584,3717,3555,(D),(D),4346,4433,4547,4923,4728,4478,(D)
 "40001","Adair, OK",6,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",1661,1661,1681,2240,2152,0,2423,3092,2270,3280,4149,(D),(D),(D),(D),(D),(D),(D)
 "40001","Adair, OK",6,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",4776,5362,9035,9265,12401,13373,13531,8936,7810,(D),(D),(D),(D),(D),(D),(D),(D),9568
 "40001","Adair, OK",6,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",14450,14692,15462,15727,15756,17190,19259,22066,24024,24610,26401,26660,26846,28386,30446,31480,28926,28321
 "40001","Adair, OK",6,CAGDP2,69,"61","   Educational services","Thousands of dollars",61,63,85,119,133,144,662,1142,1225,1040,1052,909,991,1051,1081,1169,1140,1147
 "40001","Adair, OK",6,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",14389,14629,15378,15609,15623,17047,18596,20923,22799,23570,25349,25751,25856,27335,29365,30311,27786,27174
 "40001","Adair, OK",6,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",4976,5721,5710,5516,5453,(D),(D),(D),(D),22007,12739,7750,6566,6654,7088,7495,7581,7790
 "40001","Adair, OK",6,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",66,84,116,156,(D),(D),(D),(D),(D),(D),(D),5,0,21,36,80,116,119
