GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "41000","Oregon",8,CAGDP2,1,"...","All industry total","Thousands of dollars",117274743,121229538,127211601,136238518,143662572,155153322,161511979,165189130,160640685,163827602,170621291,174493141,179382709,188880161,203158899,215050381,226618861,239782832
 "41000","Oregon",8,CAGDP2,2,"..."," Private industries","Thousands of dollars",100501708,103804395,109346656,117815965,124592541,134707047,140241184,142795570,137411604,140173225,146015429,150219404,154656331,163172845,176127344,187100720,197540089,209539564
 "41000","Oregon",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",2651182,2757606,3172212,3497760,3394017,3792199,3578702,3551551,3131315,3085434,3473820,3690431,4012978,4101819,4125149,4046378,3701876,3605033
 "41000","Oregon",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",152415,171744,187515,234945,281676,318079,394425,307844,295002,248485,236238,199330,192383,193926,184627,248338,281351,316654
 "41000","Oregon",8,CAGDP2,10,"22","  Utilities","Thousands of dollars",1646156,1640224,1614884,1807125,1647565,1895253,1797579,2281757,2253814,2690349,3284522,3003391,2923066,2851152,2659301,2901733,3036465,3077408
 "41000","Oregon",8,CAGDP2,11,"23","  Construction","Thousands of dollars",5527785,5349492,5433574,6111629,7101601,8214314,8764070,7972733,6445030,5412766,5363132,6072638,6564880,7238609,7828674,8951434,9988516,10910869
 "41000","Oregon",8,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",19318447,20655707,22353233,25456597,25329477,26691546,26110052,26661089,24703311,25897975,27953933,26767798,27502761,28355754,30090278,30917225,31590529,34053889
 "41000","Oregon",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",15242496,16236580,18405634,21068887,20701551,21693049,21215166,22146396,19210960,20934380,23063085,22081594,22262825,22917251,24072857,24959670,25464358,27660698
 "41000","Oregon",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",4075950,4419127,3947599,4387710,4627926,4998496,4894886,4514693,5492351,4963595,4890849,4686204,5239936,5438503,6017421,5957556,6126171,6393190
 "41000","Oregon",8,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",7420688,7465981,7949926,8916659,9707536,10412761,11045811,11311595,10417400,10917960,11133826,11925832,10618124,10957543,11506199,11830219,12331420,12749686
 "41000","Oregon",8,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",7390095,7588173,7888601,8125716,8556197,9093388,9151653,8747222,8454423,8644336,8633162,9056406,9503507,9747434,10385431,10900404,11545760,12025725
 "41000","Oregon",8,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",3385486,3411432,3663105,4084627,4431157,4640920,4636082,4705210,4326690,4599469,4660548,5022340,5106740,5451870,5875207,6157357,6550644,7035103
 "41000","Oregon",8,CAGDP2,45,"51","  Information","Thousands of dollars",4181157,4241184,4395156,4823898,4998908,5286478,5881895,6281841,6139698,6321083,6418604,6314266,6599881,6721885,7205845,7343641,8142153,8825097
 "41000","Oregon",8,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",22431923,23032098,23667641,23639401,26037569,28510655,30784515,30853583,31758708,31596656,32267333,32827550,32997418,35843207,39830620,43774300,46897005,49855465
 "41000","Oregon",8,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",5411975,5786976,6137645,5949504,6592580,7003308,7266090,6359485,7079289,7088988,7304331,7828899,7087607,8607676,9723087,10559607,10251286,11088599
 "41000","Oregon",8,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",17019948,17245122,17529996,17689897,19444990,21507347,23518426,24494098,24679419,24507667,24963002,24998651,25909811,27235532,30107534,33214693,36645718,38766866
 "41000","Oregon",8,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",11158833,11222568,11665671,12376742,13292922,14364305,15539917,16579671,15698405,16210027,16898664,17915284,20513101,21960328,24054905,25330706,27051421,28603697
 "41000","Oregon",8,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",5692133,5689475,5856682,6268134,6530871,6994579,7576326,8411625,8050868,8355772,8951362,9493926,9942443,10572366,11433865,12276778,13139551,13960895
 "41000","Oregon",8,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",2431071,2302900,2442336,2604984,2804904,3097830,3412675,3536529,3331452,3412951,3454040,3626682,5605930,6074762,6998400,7165178,7607489,7946881
 "41000","Oregon",8,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",3035628,3230193,3366653,3503624,3957146,4271896,4550916,4631517,4316085,4441304,4493263,4794677,4964728,5313200,5622640,5888750,6304380,6695921
 "41000","Oregon",8,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",8610657,9301953,10186562,10953469,11512670,12636676,13325505,14625570,15085408,15589377,16101688,16947675,17448030,18074706,19559726,20904186,21726346,22694090
 "41000","Oregon",8,CAGDP2,69,"61","   Educational services","Thousands of dollars",862730,893135,998863,1151908,1193625,1306694,1336532,1491648,1659476,1744745,1807218,1954784,1987470,2001310,2050251,2146543,2076727,2120230
 "41000","Oregon",8,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",7747928,8408818,9187699,9801561,10319045,11329982,11988973,13133922,13425932,13844632,14294471,14992891,15460560,16073396,17509475,18757643,19649619,20573860
 "41000","Oregon",8,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",3831787,4074011,4181237,4439932,4696017,5033448,5369455,5166906,5087896,5336724,5935390,6603236,6717981,7471517,8340935,9047764,9811957,10586641
 "41000","Oregon",8,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",828110,896124,914763,943813,985837,1047738,1142685,975045,961708,1012849,1327303,1528704,1561094,1674737,1754224,1932995,2067566,2209462
 "41000","Oregon",8,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",3003677,3177887,3266474,3496120,3710180,3985710,4226770,4191861,4126187,4323875,4608087,5074532,5156887,5796781,6586711,7114770,7744390,8377178
 "41000","Oregon",8,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",2795097,2892222,2987341,3347465,3605228,3817027,3861521,3748997,3614506,3622586,3654567,3873226,3955482,4203095,4480446,4747034,4884645,5200208
 "41000","Oregon",8,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",16773035,17425143,17864944,18422552,19070032,20446275,21270794,22393560,23229081,23654377,24605862,24273737,24726378,25707316,27031555,27949661,29078772,30243268
 "41000","Oregon",8,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",2803597,2929350,3359728,3732705,3675693,4110278,3973127,3859396,3426317,3333919,3710059,3889761,4205361,4295745,4309776,4294716,3983228,3921686
 "41000","Oregon",8,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",14810783,15054154,15838526,17042375,18263733,19506148,20197464,20058817,18871823,19562295,19766987,20982238,20121632,20704977,21891630,22730623,23877181,24775412
 "41000","Oregon",8,CAGDP2,89,"...","Transportation and utilities","Thousands of dollars",5031643,5051657,5277989,5891752,6078722,6536174,6433661,6986967,6580503,7289818,7945070,8025731,8029806,8303022,8534509,9059090,9587110,10112510
 "41000","Oregon",8,CAGDP2,90,"...","Manufacturing and information","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "41000","Oregon",8,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",27649828,28934548,31146534,35300931,36106771,39016137,38847250,38493218,34574658,34644660,37027124,36730198,38273001,39890107,42228727,44163376,45562273,48886444
 "41000","Oregon",8,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",72851880,74869846,78200122,82515034,88485770,95690910,101393934,104302353,102836946,105528565,108988304,113489207,116383330,123282738,133898616,142937345,151977817,160653120
 "41001","Baker, OR",8,CAGDP2,1,"...","All industry total","Thousands of dollars",347026,351835,342863,364704,367737,430509,455371,450224,476980,502030,516581,484354,482630,510742,544718,571530,623223,652733
 "41001","Baker, OR",8,CAGDP2,2,"..."," Private industries","Thousands of dollars",268966,268386,258983,281806,289690,339259,368409,364306,383655,402873,408119,390086,389831,414888,445986,470210,516138,545006
 "41001","Baker, OR",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",24066,16745,3271,6617,3904,4087,17884,23227,27646,41147,16039,6646,15086,25193,25834,22542,32177,39622
 "41001","Baker, OR",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",3041,3153,912,906,1114,1032,2848,3332,2372,1710,1979,2982,3388,891,1410,2186,3276,4749
 "41001","Baker, OR",8,CAGDP2,10,"22","  Utilities","Thousands of dollars",23414,25359,25899,26956,26035,39435,28261,35415,43039,45348,65535,53794,40164,43078,41434,46486,60910,57789
 "41001","Baker, OR",8,CAGDP2,11,"23","  Construction","Thousands of dollars",7887,7328,7536,8049,9792,11188,12624,11165,10416,12100,11816,13113,11198,11168,12141,13622,14373,16729
 "41001","Baker, OR",8,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",27142,29877,30289,46224,41887,40769,39328,36569,33933,34356,40505,38891,44085,43287,48720,52842,54467,57189
 "41001","Baker, OR",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",25467,27695,28249,43120,38231,37395,35827,34182,31007,31415,(D),(D),41453,41246,46808,51258,52653,55244
 "41001","Baker, OR",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",1675,2182,2040,3104,3655,3374,3501,2387,2926,2941,(D),(D),2632,2041,1912,1584,1813,1945
 "41001","Baker, OR",8,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",4236,4343,4647,4874,5115,5582,6009,5730,5550,5631,5766,6009,6098,7025,8575,8347,8202,8501
 "41001","Baker, OR",8,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",21862,21276,21931,23455,24653,23363,24831,25456,26824,26632,26115,26762,29067,29762,31462,32180,33597,36641
 "41001","Baker, OR",8,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",9399,8106,8556,10296,13091,15404,16411,13198,11685,12059,12961,14321,11378,12410,12957,12340,14094,15628
 "41001","Baker, OR",8,CAGDP2,45,"51","  Information","Thousands of dollars",5644,6058,5936,6778,6717,7114,7440,7500,7678,8784,(D),10625,10271,11105,11570,11799,12424,12030
 "41001","Baker, OR",8,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",76317,70915,69749,68494,73533,102516,119782,105898,113961,111502,114560,112405,108729,115821,125860,133470,143030,150968
 "41001","Baker, OR",8,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",12606,11045,10969,10014,9351,11744,11825,9741,11948,11987,12393,(D),10880,14235,14378,14912,14434,14377
 "41001","Baker, OR",8,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",63711,59870,58780,58480,64182,90772,107957,96156,102013,99516,102166,(D),97849,101586,111482,118558,128596,136591
 "41001","Baker, OR",8,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",21729,25911,28257,25367,26671,27894,28800,29861,30467,31295,33520,34182,41502,43858,46303,49829,51722,52816
 "41001","Baker, OR",8,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",7406,7796,7852,8067,8816,9385,10006,10777,10464,10559,10387,10623,10962,11267,11755,13679,13891,13279
