GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "44000","Rhode Island",1,CAGDP2,1,"...","All industry total","Thousands of dollars",35992143,38132119,40272792,43245616,45162373,47711791,47845638,47107768,47901406,49571772,50175924,51642022,53209947,54427284,56759393,57693908,58506341,60587593
 "44000","Rhode Island",1,CAGDP2,2,"..."," Private industries","Thousands of dollars",30690694,32579037,34370118,36937852,38572296,40846418,40731240,39916073,40930085,42389923,42849989,44325861,45844462,47007879,49177215,50179779,50763505,52599996
 "44000","Rhode Island",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",128666,125056,121904,116883,109084,120117,101859,113219,106389,113452,109541,102544,101136,98435,113187,112309,116812,(D)
 "44000","Rhode Island",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",15236,20185,20473,28926,27908,27795,31425,37303,38414,26017,18783,24241,17803,38640,47908,42775,44499,(D)
 "44000","Rhode Island",1,CAGDP2,10,"22","  Utilities","Thousands of dollars",577484,455086,508151,547634,547074,658757,640547,703017,749830,799633,778369,746612,787454,828886,864138,858951,889604,1001489
 "44000","Rhode Island",1,CAGDP2,11,"23","  Construction","Thousands of dollars",1734311,1771795,2022483,2201056,2425496,2558243,2555776,2260126,2070635,1948922,1871318,1950593,1912528,1950138,2026634,2154496,2220409,2367680
 "44000","Rhode Island",1,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",4394024,4647748,4184125,4601668,4197244,4803130,4275105,4231473,3868021,4036919,4011302,4010973,4406501,4306606,4841019,4931443,4915315,5094427
 "44000","Rhode Island",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",3124268,3281641,2842167,3319917,3029402,3152667,3079007,3021067,2641265,2736012,2717893,2654900,2825605,2668015,3027618,3239332,3235005,3421325
 "44000","Rhode Island",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",1269756,1366106,1341958,1281751,1167842,1650463,1196098,1210406,1226757,1300907,1293409,1356073,1580896,1638591,1813401,1692111,1680310,1673102
 "44000","Rhode Island",1,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",1846806,1918540,2017296,2107624,2227517,2296847,2402262,2420411,2392873,2630592,2743600,2974514,3161838,3298339,3525934,3426595,3485733,3612403
 "44000","Rhode Island",1,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",2463460,2666672,2848999,2891593,2930246,2906460,2892080,2777262,2688827,2811939,2824938,2883807,2957166,2958500,3077804,3093508,3149124,3273580
 "44000","Rhode Island",1,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",577463,596518,646270,670639,706882,751729,722827,759215,737569,767057,808736,861510,845490,849117,895696,915155,939850,1032647
 "44000","Rhode Island",1,CAGDP2,45,"51","  Information","Thousands of dollars",1316336,1532863,1653293,1923706,1913906,1943493,1724038,1890546,1896713,1942873,1974955,1784639,1776831,1796739,1743936,1704037,1459643,1463732
 "44000","Rhode Island",1,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",7900464,8358624,8966789,9775445,10721590,11039566,11550561,10112290,11763027,11818945,11986196,12692569,12926774,13353924,13676018,14105157,14138351,14490912
 "44000","Rhode Island",1,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",2978711,3008984,3049394,3260281,3461810,3823289,4118118,2937572,4060623,3881868,3852001,4489211,4641290,5224936,5364803,5698643,5822328,5792539
 "44000","Rhode Island",1,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",4921753,5349640,5917394,6515164,7259780,7216277,7432443,7174718,7702404,7937077,8134194,8203358,8285484,8128989,8311215,8406515,8316023,8698374
 "44000","Rhode Island",1,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",3315084,3457322,3939205,4226860,4502300,4981144,5090919,5423249,5121318,5494758,5589494,5915819,6266257,6602514,6924760,7143649,7489780,7799215
 "44000","Rhode Island",1,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",1820047,1948391,2051943,2200490,2290027,2585726,2549639,2783846,2656736,2765880,2802460,2875367,2955804,3077868,3241487,3291154,3466857,3642829
 "44000","Rhode Island",1,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",625371,648247,975700,999597,1085968,1232842,1300028,1373859,1240485,1401039,1449207,1646606,1816492,1971641,2075421,2195050,2236958,2236413
 "44000","Rhode Island",1,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",869667,860685,911562,1026774,1126305,1162576,1241253,1265544,1224098,1327839,1337827,1393846,1493962,1553005,1607852,1657446,1785964,1919973
 "44000","Rhode Island",1,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",4001778,4393158,4684368,5031043,5316038,5622199,5779489,6179809,6548292,6867050,6929684,6991232,7181441,7348281,7634326,7700800,7789869,8015436
 "44000","Rhode Island",1,CAGDP2,69,"61","   Educational services","Thousands of dollars",878092,923808,994174,1102050,1151524,1239706,1301781,1422078,1570853,1659489,1710301,1677202,1720490,1800456,1885997,1871079,1910163,1949688
 "44000","Rhode Island",1,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",3123686,3469350,3690194,3928993,4164513,4382493,4477708,4757731,4977439,5207561,5219383,5314031,5460951,5547825,5748329,5829722,5879706,6065749
 "44000","Rhode Island",1,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",1505347,1639989,1752839,1788180,1866473,1932848,1853880,1932663,1899426,2076675,2153078,2319005,2420422,2442860,2624421,2771607,2881641,2997821
 "44000","Rhode Island",1,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",361481,401091,459461,443802,450395,465475,444256,439288,439498,494824,512076,534657,567207,628637,664993,710821,717835,717118
 "44000","Rhode Island",1,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",1143866,1238898,1293378,1344378,1416078,1467373,1409624,1493375,1459928,1581851,1641002,1784347,1853215,1814223,1959428,2060786,2163806,2280704
 "44000","Rhode Island",1,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",914237,995482,1003925,1026598,1080539,1204090,1110473,1075488,1048749,1055090,1049998,1067802,1082820,1134900,1181435,1219297,1242877,1294259
 "44000","Rhode Island",1,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",5301450,5553082,5902674,6307764,6590077,6865373,7114399,7191695,6971320,7181849,7325935,7316161,7365484,7419404,7582177,7514129,7742836,7987598
 "44000","Rhode Island",1,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",143902,145241,142377,145808,136992,147912,133284,150523,144803,139470,128323,126785,118939,137075,161096,155084,161310,156393
 "44000","Rhode Island",1,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",4310266,4585211,4866295,4999216,5157763,5203307,5294342,5197674,5081700,5442531,5568538,5858321,6119005,6256839,6603738,6520103,6634856,6885983
 "44000","Rhode Island",1,CAGDP2,89,"...","Transportation and utilities","Thousands of dollars",1154947,1051604,1154421,1218272,1253956,1410486,1363374,1462232,1487399,1566690,1587105,1608122,1632944,1678002,1759834,1774106,1829453,2034135
