GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "48000","Texas",6,CAGDP2,1,"...","All industry total","Thousands of dollars",773006675,787257796,829764384,906321047,986401323,1085294864,1178583052,1237394855,1163401330,1237196786,1331220641,1411378717,1502249843,1572818359,1568457003,1565632194,1665631797,1802511234
 "48000","Texas",6,CAGDP2,2,"..."," Private industries","Thousands of dollars",684760644,692501034,729294563,802089245,876490142,969399488,1054511821,1105669249,1023692186,1091316723,1184471332,1259816342,1345637608,1411379393,1398546615,1389898389,1484961643,1615721790
 "48000","Texas",6,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",6182816,6841365,8302879,9603835,8163057,7179568,8089950,6299909,5523406,9038335,8464554,8217538,10898152,10432691,11928079,8674374,9337929,8979415
 "48000","Texas",6,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",51954137,48063496,62443776,72830409,99369130,116318370,137330336,177654409,112574849,122076431,146001269,158860885,183266044,201808850,117980373,93228703,126885615,161669560
 "48000","Texas",6,CAGDP2,10,"22","  Utilities","Thousands of dollars",20216747,18057389,18982599,19708405,19793688,22952671,22856078,22020900,22443471,24348702,26418937,24615929,25135295,25517487,25812969,26277613,28603630,30439577
 "48000","Texas",6,CAGDP2,11,"23","  Construction","Thousands of dollars",41465164,42389828,44007878,43584872,49370373,56938110,64605441,64837074,59866258,55702304,56842472,63587904,68102684,75451915,81523780,85410922,87639747,92839089
 "48000","Texas",6,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",106036958,105120395,109175406,141208115,146231685,167526893,181647256,163062141,154701220,176482496,203495081,206104057,224082884,202207509,211060497,197711549,216003101,237661648
 "48000","Texas",6,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",54055282,55904421,55085554,65122121,70864426,82338048,83765191,87586660,78671661,83292575,92592358,95668887,101829049,104306889,101157738,101703014,106975043,113447145
 "48000","Texas",6,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",51981676,49215974,54089852,76085994,75367260,85188845,97882065,75475482,76029560,93189921,110902723,110435170,122253835,97900620,109902760,96008534,109028059,124214503
 "48000","Texas",6,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",51968427,50710694,52168998,60509000,67316920,74359991,81859641,87780837,85045538,93440165,102467175,116551761,122017755,128542126,133645631,131630332,132377587,137956654
 "48000","Texas",6,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",52743185,54545153,56127732,56679165,60687442,64055219,64825773,64918217,65444072,67540174,69701359,75322678,79535829,83968970,89835847,91761494,93429559,99587037
 "48000","Texas",6,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",33285292,29283512,30211273,33084454,34923523,38441977,39220405,42310248,39874766,43862083,46030490,50492090,49092906,52672192,57300541,57721205,61262252,66277592
 "48000","Texas",6,CAGDP2,45,"51","  Information","Thousands of dollars",34368839,36794373,37973028,40575554,41216218,43366119,51905750,54101998,50353404,50068295,50187606,49328458,53964856,54249030,57315590,58469181,61526810,65963474
 "48000","Texas",6,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",116509452,121294686,125037272,127210126,139989636,149115777,155908221,157333928,159479152,167358305,178922933,192555267,202323494,221582294,233881652,249353439,259511840,278090109
 "48000","Texas",6,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",43266099,44459847,47211851,47228436,52924668,55737415,54706051,52850062,55093927,57631455,59800710,67522723,70758460,77354799,84645391,92548299,93424967,102741627
 "48000","Texas",6,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",73243353,76834839,77825421,79981689,87064967,93378362,101202170,104483866,104385225,109726850,119122223,125032544,131565033,144227495,149236262,156805140,166086872,175348482
 "48000","Texas",6,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",76642067,78685763,80678780,87820228,96753678,107442260,118644482,130210009,124702127,131715050,140675794,150573315,157256402,171878644,181433280,184262070,196130129,212379987
 "48000","Texas",6,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",51231920,52798393,53304518,56413450,61171844,67717078,73069187,81785422,77789667,81946999,87464471,93719949,97146314,103829728,110490276,112756432,117562676,127523330
 "48000","Texas",6,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",3287326,3625427,4011372,5173949,6467331,7413225,9557513,10369212,10323020,11334096,12265089,13991001,14655691,18403869,19268934,19547012,22548317,25212755
 "48000","Texas",6,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",22122821,22261942,23362890,26232829,29114503,32311956,36017782,38055375,36589440,38433955,40946233,42862365,45454398,49645047,51674071,51958626,56019136,59643902
 "48000","Texas",6,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",48040598,52477769,54915115,58223935,59442347,63585163,66945442,73241261,80942810,85445460,89109378,92472396,95613466,100266627,107722663,113536374,117756330,123010374
 "48000","Texas",6,CAGDP2,69,"61","   Educational services","Thousands of dollars",4708315,4851406,5274522,5812514,5917313,6264769,6669994,7475954,8604472,9297840,9758749,10159337,10492892,10947951,11653053,12482927,12645533,13008420
 "48000","Texas",6,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",43332283,47626363,49640592,52411422,53525034,57320394,60275447,65765306,72338338,76147620,79350629,82313060,85120574,89318675,96069610,101053448,105110798,110001954
 "48000","Texas",6,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",26448022,28112062,29247167,30354709,31357771,34757345,36363690,37310651,37779751,38944772,40419534,43475626,45459118,51412900,56579970,59003035,60889685,64833623
 "48000","Texas",6,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",3953693,4464101,4741564,4724385,4831052,5245759,5523427,5752957,6329707,6264037,6803429,7265728,7885521,8785731,9820004,10960331,11878729,12547173
 "48000","Texas",6,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",22494329,23647962,24505604,25630324,26526718,29511586,30840263,31557693,31450045,32680735,33616104,36209899,37573597,42627169,46759966,48042704,49010956,52286450
 "48000","Texas",6,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",18898940,20124548,20022662,20696438,21874674,23360023,24309356,24587667,24961363,25294151,25734752,27658439,28888723,31388158,32525742,32858097,33607429,36033651
 "48000","Texas",6,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",88246031,94756762,100469821,104231803,109911181,115895377,124071231,131725606,139709143,145880064,146749310,151562375,156612235,161438966,169910389,175733805,180670154,186789444
 "48000","Texas",6,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",58136954,54904861,70746655,82434244,107532187,123497939,145420285,183954318,118098254,131114766,154465822,167078422,194164196,212241541,129908453,101903077,136223544,170648974
 "48000","Texas",6,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",104711611,105255847,108296730,117188166,128004362,138415210,146685414,152699055,150489610,160980339,172168535,191874439,201553584,212511096,223481478,223391827,225807146,237543691
 "48000","Texas",6,CAGDP2,89,"...","Transportation and utilities","Thousands of dollars",53502039,47340901,49193871,52792858,54717211,61394648,62076483,64331148,62318237,68210786,72449426,75108019,74228201,78189679,83113510,83998818,89865882,96717170
 "48000","Texas",6,CAGDP2,90,"...","Manufacturing and information","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
