GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "50000","Vermont",1,CAGDP2,1,"...","All industry total","Thousands of dollars",19274052,20163278,21130071,22666039,23509266,24309837,24696771,25677996,25867795,27108356,28135124,28887352,29098821,29701311,30729640,31658958,32209831,33256268
 "50000","Vermont",1,CAGDP2,2,"..."," Private industries","Thousands of dollars",16682762,17409351,18163054,19480730,20159180,20802919,21076803,21877656,22009788,23183022,24009375,24783103,24795952,25377144,26236815,27082320,27532967,28451531
 "50000","Vermont",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",314184,252829,279781,360244,365255,309234,411107,431383,299693,384879,482758,445751,505101,573102,442378,412577,439004,369666
 "50000","Vermont",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",67331,72630,91319,92630,123247,147731,145089,154136,214193,232768,226278,190782,182284,197956,228001,230954,292067,226567
 "50000","Vermont",1,CAGDP2,10,"22","  Utilities","Thousands of dollars",422333,422926,426663,496487,484392,519943,551627,560704,681434,755673,685085,716393,762231,756118,761701,637684,629548,669485
 "50000","Vermont",1,CAGDP2,11,"23","  Construction","Thousands of dollars",958208,976583,1007889,1137368,1178275,1221874,1181256,1061135,1060574,1043321,1073507,1096809,1049180,1031857,1038852,1077931,1080818,1110659
 "50000","Vermont",1,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",2981590,2905983,2896682,2950569,2880598,3132145,2632938,2939692,2652826,3107995,3206452,3388764,2751990,2742646,2970663,2933804,2999698,3106072
 "50000","Vermont",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",2315350,2244071,2251524,2268160,2207481,2335194,1810016,2070519,1892134,2330941,2393300,2618789,1951653,1856641,1918113,1892679,1923973,2010564
 "50000","Vermont",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",666239,661912,645158,682408,673117,796951,822922,869172,760692,777053,813151,769975,800337,886005,1052550,1041124,1075725,1095508
 "50000","Vermont",1,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",932215,978745,1086571,1154670,1171475,1182998,1206606,1231925,1216053,1329668,1407547,1476585,1510420,1498267,1554534,1643073,1595620,1656474
 "50000","Vermont",1,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",1623473,1715890,1798088,1911419,2000286,1990909,1973519,1994780,1943507,1990178,2035560,2047020,2138391,2176625,2275482,2342728,2400351,2482194
 "50000","Vermont",1,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",393999,406794,425511,459589,486796,497696,495749,505963,480798,495840,518617,517704,504052,514695,514270,513225,541386,563135
 "50000","Vermont",1,CAGDP2,45,"51","  Information","Thousands of dollars",571316,634652,652798,743550,753188,717696,780911,928684,979991,978324,921881,856989,911093,876950,858488,877248,873952,859773
 "50000","Vermont",1,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",3324607,3557879,3736777,3956871,4259183,4379680,4716971,4595432,4891189,5083799,5314807,5498123,5567391,5906624,6010201,6295829,6187737,6455764
 "50000","Vermont",1,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",962479,1066889,1171433,1226366,1360279,1357057,1403509,1237517,1299426,1258250,1298363,1412963,1389216,1773149,1635239,1733670,1723713,1787050
 "50000","Vermont",1,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",2362128,2490990,2565343,2730505,2898904,3022623,3313462,3357915,3591763,3825549,4016444,4085160,4178175,4133475,4374962,4562159,4464024,4668715
 "50000","Vermont",1,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",1445765,1513620,1595266,1831259,1878178,1957677,2052761,2264766,2249543,2325907,2519841,2661039,2793257,2834260,2974382,3085207,3221780,3386535
 "50000","Vermont",1,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",1062090,1121355,1178546,1361384,1392399,1477947,1518426,1636966,1615473,1657808,1750802,1785835,1844258,1824926,1951751,2012914,2090581,2201556
 "50000","Vermont",1,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",24695,25233,26140,29344,30658,18863,17840,85283,87134,103177,160005,218385,229271,251058,264734,268308,260120,259905
 "50000","Vermont",1,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",358980,367032,390580,440531,455121,460866,516495,542517,546936,564922,609034,656820,719728,758276,757897,803985,871080,925074
 "50000","Vermont",1,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",2010116,2194739,2360651,2525919,2650382,2797690,2956254,3240819,3413641,3455402,3553784,3688161,3816047,3865756,4053673,4377095,4451733,4633775
 "50000","Vermont",1,CAGDP2,69,"61","   Educational services","Thousands of dollars",433219,454539,486105,542184,552216,579990,602130,664119,720589,722236,744596,760449,771746,788553,813406,959902,980220,988880
 "50000","Vermont",1,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",1576897,1740200,1874546,1983734,2098166,2217700,2354124,2576700,2693052,2733166,2809188,2927712,3044301,3077203,3240267,3417193,3471513,3644896
 "50000","Vermont",1,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",1073221,1172805,1210377,1252719,1307650,1320750,1358356,1368139,1334779,1403432,1465708,1561547,1655991,1728630,1857805,1938073,2097057,2158754
 "50000","Vermont",1,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",200749,227530,248146,246102,235281,237171,246629,258719,269159,292291,300616,323239,323442,348155,326378,346144,351331,371232
 "50000","Vermont",1,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",872472,945275,962231,1006617,1072369,1083579,1111726,1109420,1065620,1111140,1165092,1238308,1332549,1380475,1531427,1591929,1745725,1787522
 "50000","Vermont",1,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",564403,603277,594680,607437,620276,626895,613661,600099,591565,595837,597551,637436,648523,673658,696387,716894,722214,772678
 "50000","Vermont",1,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",2591290,2753927,2967017,3185310,3350086,3506918,3619968,3800340,3858008,3925334,4125749,4104249,4302870,4324168,4492825,4576638,4676864,4804736
 "50000","Vermont",1,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",381514,325459,371100,452873,488502,456966,556195,585519,513887,617647,709036,636533,687385,771058,670379,643531,731071,596233
 "50000","Vermont",1,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",2555689,2694635,2884659,3066090,3171760,3173907,3180124,3226705,3159560,3319847,3443106,3523605,3648811,3674892,3830016,3985800,3995972,4138668
 "50000","Vermont",1,CAGDP2,89,"...","Transportation and utilities","Thousands of dollars",816333,829720,852174,956077,971188,1017639,1047376,1066667,1162232,1251513,1203701,1234097,1266283,1270813,1275971,1150909,1170935,1232620
 "50000","Vermont",1,CAGDP2,90,"...","Manufacturing and information","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "50000","Vermont",1,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",4321313,4208025,4275671,4540810,4547375,4810985,4370390,4586345,4227286,4768963,4988995,5122106,4488554,4545560,4679893,4655266,4811587,4812964
 "50000","Vermont",1,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",12361449,13201326,13887382,14939919,15611805,15991934,16706414,17291311,17782501,18414060,19020380,19660997,20307397,20831583,21556922,22427054,22721380,23638567
 "50001","Addison, VT",1,CAGDP2,1,"...","All industry total","Thousands of dollars",901055,942156,1014541,1098651,1128967,1182418,1196838,1255817,1242869,1326858,1416746,1516780,1391110,1397960,1435696,1542148,1619572,1649080
 "50001","Addison, VT",1,CAGDP2,2,"..."," Private industries","Thousands of dollars",807007,844692,909467,986260,1013431,1062174,1074157,1130928,1119097,1200080,1284672,1387416,1257975,1267949,1299810,1402459,1469767,1494938
 "50001","Addison, VT",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",67121,(D),59299,80005,(D),(D),95311,91628,52947,84455,115806,114567,111071,134452,91283,85975,91564,67667
 "50001","Addison, VT",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",2738,2841,3792,4393,3255,2886,2976,3274,4725,5697,5994,5820,6097,8803,9223,8795,11438,10585
 "50001","Addison, VT",1,CAGDP2,10,"22","  Utilities","Thousands of dollars",12562,13689,14506,15265,16714,20233,(D),(D),26331,25518,(D),(D),25216,23407,(D),(D),(D),(D)
 "50001","Addison, VT",1,CAGDP2,11,"23","  Construction","Thousands of dollars",47452,(D),58780,69793,70797,71282,72942,66965,75395,83659,72795,76602,57883,40105,52672,70206,89270,79149
 "50001","Addison, VT",1,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",139764,148599,160354,172748,171046,192172,130630,169668,161408,201943,252577,320189,193368,166711,190517,207014,215531,224153
 "50001","Addison, VT",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",91049,96810,111091,119367,120760,129215,79490,110974,100156,118577,(D),(D),110308,98092,120713,138009,142939,149274
 "50001","Addison, VT",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",48715,51788,49262,53382,50285,62957,51140,58693,61252,83367,(D),(D),83060,68618,69804,69005,72592,74880
 "50001","Addison, VT",1,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",23276,23799,26128,29769,33269,34099,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "50001","Addison, VT",1,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",85748,87026,90151,98304,101465,110933,111552,115290,111287,112094,113887,119907,126880,131233,139633,135381,137673,142526
 "50001","Addison, VT",1,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",(D),(D),(D),(D),(D),(D),18738,19910,19515,21981,22967,20636,22211,26407,21084,20533,22653,22973
 "50001","Addison, VT",1,CAGDP2,45,"51","  Information","Thousands of dollars",6629,8400,9221,12548,13718,12993,14321,14169,17103,16868,12284,10679,(D),(D),11080,11403,10276,10239
 "50001","Addison, VT",1,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",118795,131502,141932,143163,151177,170512,187077,185591,202133,207288,216535,215968,216945,222245,237855,250618,246393,256597
 "50001","Addison, VT",1,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",31300,35751,38558,37075,40073,40743,40830,38540,39516,36279,37238,37817,37326,43958,45127,49049,50400,51697
 "50001","Addison, VT",1,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",87495,95751,103374,106087,111104,129769,146247,147051,162617,171009,179297,178150,179619,178286,192728,201569,195993,204900
 "50001","Addison, VT",1,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",(D),(D),(D),(D),67347,71202,78696,85723,84579,90512,90938,94867,94022,95598,107089,106429,109725,117330
