GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "53000","Washington",8,CAGDP2,1,"...","All industry total","Thousands of dollars",239425668,248189120,258262761,270115167,296100657,317167235,346442769,355677764,353632035,365551889,379539000,400863279,419345047,442201318,470329321,491358220,524814612,565830977
 "53000","Washington",8,CAGDP2,2,"..."," Private industries","Thousands of dollars",205441136,211919115,220106240,230209355,253557310,271414726,298589793,304199777,299973912,310261940,323747252,343004548,360292334,381242219,407243426,426013614,456518728,494746076
 "53000","Washington",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",3502783,3721475,4604253,5055484,4773477,5213498,6093740,5786810,5441726,5795853,7024704,7291213,7295098,7171287,8021183,7363720,7656350,7434061
 "53000","Washington",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",257477,260191,319985,330896,580422,823049,755634,513193,518380,532356,495187,373862,376942,416265,384101,416559,482080,586035
 "53000","Washington",8,CAGDP2,10,"22","  Utilities","Thousands of dollars",2895814,2719227,2941985,3167818,3083312,3530079,3313277,3418829,3611158,3818844,4019384,4021479,4040914,4149282,4131365,4238989,4431510,4528928
 "53000","Washington",8,CAGDP2,11,"23","  Construction","Thousands of dollars",10615787,10427215,11068327,12305361,14383925,16172484,18551060,17344406,13748286,12070421,11323153,12505067,14408409,16118210,17796720,20087959,22205763,24224724
 "53000","Washington",8,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",32145294,31866379,29968837,30385187,39058282,42287705,47642698,45360584,47701104,51527616,53747496,57623938,60134016,62620403,67340152,59955986,59974985,64551770
 "53000","Washington",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",24991233,22916995,21791450,22690125,27655031,31995752,36410955,35454926,36841770,40091196,42859200,47181689,49190019,51716108,54480290,47342774,45608754,48042169
 "53000","Washington",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",7154060,8949384,8177387,7695062,11403251,10291953,11231743,9905658,10859334,11436421,10888296,10442249,10943996,10904295,12859862,12613212,14366231,16509601
 "53000","Washington",8,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",13925871,13650908,14272544,15675405,16865459,18178192,19238052,20027426,19027602,20347902,21383559,22761796,23694733,24744601,26051514,26318188,27278000,28448598
 "53000","Washington",8,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",17288647,17749469,18712195,19601613,21130329,22404659,23071050,22953146,22136617,23352117,24571761,26295773,28516275,30676278,33866904,38169960,43334304,47178893
 "53000","Washington",8,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",6992906,7005604,7358313,8115322,8611651,9319394,9456779,9663062,9537025,10475530,10634878,11200722,11425551,12001128,13063040,13922747,14849826,15825048
 "53000","Washington",8,CAGDP2,45,"51","  Information","Thousands of dollars",22292370,23748612,25173378,25228504,26989058,27886088,33235924,35213056,34787787,34254704,37163354,40254501,43214349,47116844,49164834,55399532,61870738,71583469
 "53000","Washington",8,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",43225072,45725955,47862286,48620848,52202502,55049314,60295050,62357429,62990386,62947905,64776592,67380365,70106715,75173244,80552812,86291493,92491393,99460678
 "53000","Washington",8,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",10040849,11599823,12821702,12666467,13655877,13998207,14247631,13876259,14228679,13985450,14142550,15418820,14875783,16077151,17447742,18823395,19548036,21879180
 "53000","Washington",8,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",33184223,34126132,35040584,35954382,38546624,41051107,46047419,48481170,48761707,48962456,50634042,51961544,55230932,59096094,63105070,67468098,72943358,77581498
 "53000","Washington",8,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",23774388,24799606,26433972,28256840,30294160,32257123,36247073,38362862,36519649,39509869,41243000,43184436,44678939,46587686,48734626,51247404,54843030,59719063
 "53000","Washington",8,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",14532700,15122434,15905134,17115290,18541266,19593489,22372772,24101924,22847971,24318907,25561555,26919731,27648107,28933381,29941327,31659414,33811646,37506240
