GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "55000","Wisconsin",3,CAGDP2,1,"...","All industry total","Thousands of dollars",187939338,194813102,203134745,215138936,225697903,235708630,243766677,244759870,245539012,254354075,263881605,274343940,282384559,293884633,305816470,313532380,321987743,336294048
 "55000","Wisconsin",3,CAGDP2,2,"..."," Private industries","Thousands of dollars",166271909,172026727,179084144,190209190,199866920,208798217,215437121,215069754,214458403,222443927,231749361,241374921,249548996,260084193,271818116,278939711,286717491,300065360
 "55000","Wisconsin",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",2854248,2662451,3037238,3841066,3356587,3311287,4306568,3782234,2783883,3757933,5187295,4945857,5426266,5675966,5267300,4382759,4648503,4279432
 "55000","Wisconsin",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",265348,291848,320138,403289,400626,501121,472362,471365,492173,612862,514028,489103,655107,1247640,2009089,1047856,1343442,1992645
 "55000","Wisconsin",3,CAGDP2,10,"22","  Utilities","Thousands of dollars",3286401,3143340,3318864,3614678,3533332,4008862,4095069,4569027,4637528,4974949,5262503,5153327,5372576,5527185,5443476,5531003,5579614,5761070
 "55000","Wisconsin",3,CAGDP2,11,"23","  Construction","Thousands of dollars",8687573,8763968,9258871,10069388,10583077,10582970,10850789,10319442,9429621,8527223,8374752,8977108,9738086,10570455,11574906,12338469,13160387,13935916
 "55000","Wisconsin",3,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",42975189,43013328,43599901,45103404,46537589,49877251,49412406,46411848,44886405,48109957,50274011,53925501,55881661,56877090,58561252,58624137,60044175,63078724
 "55000","Wisconsin",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",24689431,24251718,25761125,26903379,28489850,30148363,29913867,28100830,24029637,27142047,30194524,32471679,34251249,33482074,34432447,33597381,34923330,36693839
 "55000","Wisconsin",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",18285758,18761610,17838776,18200025,18047739,19728887,19498539,18311018,20856767,20967910,20079487,21453822,21630412,23395016,24128805,25026756,25120845,26384885
 "55000","Wisconsin",3,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",10502338,10712899,10843826,11953600,12890248,13641887,14054294,14886128,14276273,14915902,15447513,16355979,17264439,17784303,18572416,18987924,19941088,20637987
 "55000","Wisconsin",3,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",13269008,13777628,14293065,14341485,14613512,14982909,14749267,14634873,14345095,14342572,14814636,14881419,15811449,16110330,16913420,17484477,17931194,18689153
 "55000","Wisconsin",3,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",5856207,5973520,6293449,6702240,7119933,7475321,7179781,7126480,6890285,7332230,7599516,7827891,8218992,8623892,9042745,9127900,9588662,10122122
 "55000","Wisconsin",3,CAGDP2,45,"51","  Information","Thousands of dollars",5340422,5972210,6085504,6960346,7376634,7549144,8016161,8469700,8503963,8690664,8909306,8742252,9596021,9957454,10571962,11025473,11266017,11609841
 "55000","Wisconsin",3,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",33483188,35175463,37096070,39248520,43208278,43714943,46691108,45453799,48787432,49863239,51638520,54122776,53082244,57330430,60571790,63392104,63095124,65385156
 "55000","Wisconsin",3,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",11689539,12043801,13224095,14840156,17131203,17137020,18410346,16037156,17385810,17700942,18069518,19976108,18328312,22789366,25190688,26635194,25589226,26122373
 "55000","Wisconsin",3,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",21793649,23131662,23871976,24408364,26077075,26577923,28280762,29416643,31401622,32162296,33569002,34146668,34753932,34541064,35381102,36756909,37505898,39262782
 "55000","Wisconsin",3,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",14371613,15216052,16159056,17232720,18258218,19589076,21029039,22379329,21357032,22752140,23779505,24684125,25858525,26948361,28414668,30074534,31280489,33162607
 "55000","Wisconsin",3,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",7200187,7703723,7979418,8405204,8908881,9502878,10208772,11250029,10691888,11095615,11248969,11755336,11948235,12373025,13214488,13650895,14199979,15117884
 "55000","Wisconsin",3,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",3433730,3651237,4148738,4421102,4486907,4949069,5179376,5196484,5256200,5769175,6240586,6607908,7213504,7634505,8172797,9177332,9212180,9738789
 "55000","Wisconsin",3,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",3737696,3861092,4030900,4406415,4862430,5137128,5640890,5932816,5408944,5887350,6289950,6320882,6696785,6940831,7027382,7246307,7868331,8305934
