GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "56000","Wyoming",7,CAGDP2,1,"...","All industry total","Thousands of dollars",18660713,19115587,21027494,23186734,27177634,32405074,36602496,42540425,36042215,37401207,39370717,38431716,38922463,39436091,37721504,35740325,37453599,39118481
 "56000","Wyoming",7,CAGDP2,2,"..."," Private industries","Thousands of dollars",15705988,15933233,17596398,19574623,23390764,28368156,32105380,37679318,30979260,32174893,34071990,32894198,33044171,33395689,31611474,29577103,31246837,32825472
 "56000","Wyoming",7,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",412258,307648,421569,447616,423202,420955,355414,451618,440908,519843,794352,562366,720129,761833,711086,639910,639449,630058
 "56000","Wyoming",7,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",3807459,3719096,4811689,6013571,8641874,11416490,12630160,16170025,11667737,12246695,13016663,10146899,10203652,9631183,6606414,5909982,7373433,7534937
 "56000","Wyoming",7,CAGDP2,10,"22","  Utilities","Thousands of dollars",498701,508828,530174,565855,570030,649206,689702,736789,831718,917296,951660,959666,978629,978962,999286,1044848,1051762,1087709
 "56000","Wyoming",7,CAGDP2,11,"23","  Construction","Thousands of dollars",1168476,1221712,1238262,1238817,1408310,1711466,2036571,2247423,1994076,1934651,1836420,2031483,2095896,2287786,2198888,1999747,1993913,2059622
 "56000","Wyoming",7,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",1328821,955611,1146006,1306233,1510244,1891156,2867814,3408061,1556793,1693810,2037823,2491522,1897591,1744049,2350674,1719289,1946179,2259929
 "56000","Wyoming",7,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",261535,261517,259213,297151,314887,323563,365184,404024,385603,375506,410012,442610,432696,466636,506608,449687,475691,536055
 "56000","Wyoming",7,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",1067286,694094,886793,1009083,1195357,1567593,2502630,3004036,1171191,1318304,1627811,2048912,1464895,1277413,1844066,1269602,1470488,1723874
 "56000","Wyoming",7,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",743709,762771,792241,863522,947728,1112968,1227431,1356937,1240485,1308672,1378009,1599065,1674997,1813926,1746609,1574790,1473687,1515654
