GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",397478,445225,476061,541293,581519,655804,771668,852803,926754,1062407,1210051,1396724,1681889,1805340,1890446,2010700,2138884,2128927,2097573,2189009,2274917,2324820,2382790,2541971,2668070,2724394,2915506,3105725,3322907,3465354,3590993,3675392,3753367,3905004,4137066,4325061,4552568,4850810,5119572,5632799,5415851,5705250,6052939,6356517,6562619,7051346,6927654,6824551,6967607,7396471
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",125138,122505,124841,128517,127533,128625,131031,133379,133052,134462,136601,140098,143310,148899,152939,153587,153470,155031,153655,150042,149324,147834,147400,149917,152909,153779,156097,156351,157405,158264,159755,160288,158917,159012,158810,160156,160761,161389,162023,162508,163888,165583,166616,167447,167472,168355,169704,170018,170516,171451
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3176,3634,3813,4212,4560,5099,5889,6394,6965,7901,8858,9970,11736,12125,12361,13092,13937,13732,13651,14589,15235,15726,16165,16956,17449,17716,18678,19864,21111,21896,22478,22930,23618,24558,26050,27005,28319,30057,31598,34662,33046,34456,36329,37961,39186,41884,40822,40140,40862,43140
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2720989,2838776,2990538,3263561,3568727,3882656,4114360,4425010,4944761,5471768,6012395,6607832,7243539,7575849,7987788,8702211,9210231,9636333,10095804,10770981,11738137,12392974,12698519,13573246,14178987,15065195,15997336,16821909,17779727,18913133,19574962,20750568,21099545,21415769,22250786,23095011,23725368,24662208,25942891,27003814,26175360,26886702,28023720,28861978,29411176,30825345,31696246,32028663,33346841,34835247
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",676214,679077,679231,677046,676196,670284,672844,667910,662233,658517,660364,660334,658870,656126,653968,651917,648457,646647,647810,652814,655626,658654,664478,669752,674114,678063,682146,687264,689461,691039,693125,695946,698108,699533,701139,701811,702498,702433,703423,703300,703361,703035,703123,702080,703625,704921,704448,703690,704367,704845
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4024,4180,4403,4820,5278,5793,6115,6625,7467,8309,9105,10007,10994,11546,12214,13349,14203,14902,15585,16499,17904,18816,19111,20266,21034,22218,23451,24477,25788,27369,28242,29816,30224,30614,31735,32908,33773,35110,36881,38396,37215,38244,39856,41109,41800,43729,44994,45515,47343,49423
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",321140,372190,424311,480038,555071,572953,601973,669194,731117,843252,944356,1053652,1201662,1270580,1352233,1508326,1585078,1653303,1710957,1836633,1966471,2094178,2233147,2344768,2455591,2682327,2828467,3009316,3097422,3224077,3315444,3448146,3544067,3695068,3833427,3930646,4064538,4154201,4311977,4490088,4591059,4727287,5075541,5101696,5049615,5174085,5241393,5293255,5409425,5621848
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",120767,123598,127456,131775,133860,130309,131861,134378,137462,138191,140660,142986,144771,145744,145846,146534,147235,146612,145828,144961,144058,143025,144169,146343,148122,149356,150100,151596,152692,153449,153555,153585,153730,153024,152790,152887,152919,153535,153661,153823,154409,154154,154538,153973,152668,151956,150408,149167,148113,149917
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2659,3011,3329,3643,4147,4397,4565,4980,5319,6102,6714,7369,8300,8718,9272,10293,10766,11277,11733,12670,13651,14642,15490,16022,16578,17959,18844,19851,20285,21011,21591,22451,23054,24147,25090,25709,26580,27057,28062,29190,29733,30666,32843,33134,33076,34050,34848,35485,36522,37500
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",225174,242957,268934,298356,345781,396139,430189,496928,561977,626200,692242,763418,833933,858057,904395,971595,1012785,1055672,1120327,1247940,1344041,1415677,1493662,1589035,1700272,1799553,1920465,2092053,2163857,2229964,2287091,2375900,2593500,2670594,2730439,2914377,3029078,3282355,3446514,3562032,3565145,3697969,3825868,3964446,4023739,4276236,4575907,4806613,5107152,5461463
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",70221,72587,75547,76467,78150,79006,80942,82420,84723,86334,88999,89668,90173,89748,89415,89253,88019,88026,88069,89223,89890,91690,93145,94112,95496,96919,98853,100582,102054,102770,103462,103020,103544,104561,106035,106799,108132,110764,112932,114967,116001,116887,118155,118273,118416,119063,120244,122730,124977,127335
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3207,3347,3560,3902,4425,5014,5315,6029,6633,7253,7778,8514,9248,9561,10115,10886,11506,11993,12721,13987,14952,15440,16036,16885,17805,18568,19427,20799,21203,21699,22106,23063,25047,25541,25750,27288,28013,29634,30518,30983,30734,31637,32380,33519,33980,35916,38055,39164,40865,42891
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2965738,3299252,3648157,3926002,4229899,4588365,4962911,5302714,5731221,6268119,6893883,7704596,8548119,9367569,10089285,11168909,11991143,12906310,13699039,14869767,16410897,17345125,17921053,18991395,19596837,20238686,20895200,21549433,22681039,23789001,24961949,26800742,28099704,28358097,29358061,30658678,31685602,33436698,34935187,36892825,37222239,38693831,40118185,41582543,42426595,44085565,46234529,47065441,49632513,51315302
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",741040,749695,761289,772468,774486,772691,774345,772927,774635,776648,776196,771823,772505,773678,777649,779804,783736,788761,791466,798121,803919,811352,818272,824285,827812,830817,830439,828007,824711,823712,824119,827399,831034,836753,844619,850384,854604,860365,863068,866282,869361,871080,872701,874674,877095,878184,879131,879790,882130,883169
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4002,4401,4792,5082,5462,5938,6409,6861,7399,8071,8882,9982,11065,12108,12974,14323,15300,16363,17308,18631,20414,21378,21901,23040,23673,24360,25162,26026,27502,28880,30289,32392,33813,33891,34759,36053,37076,38863,40478,42588,42816,44421,45970,47541,48372,50201,52591,53496,56264,58104
 "10740","Albuquerque, NM (Metropolitan Statistical Area) *", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1247215,1414627,1598397,1834590,2045489,2292455,2593217,2935369,3288372,3809512,4332145,4859365,5413999,5724635,6289945,6990630,7673240,8175036,8672045,9220626,9794205,10482512,11204303,12036684,13000443,14131170,15220016,16044180,16881644,17627064,18084146,19627427,20615963,21402296,22402431,23838742,25413256,27523476,28809412,30233555,30098613,30634965,31977757,32424855,31995260,33874673,35231228,36557401,37168752,38960264
 "10740","Albuquerque, NM (Metropolitan Statistical Area) *", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",377600,382076,397496,407732,426583,440633,450712,464570,481349,492914,508581,525593,534415,511169,522356,533544,544603,558859,574324,583976,594036,602588,616345,633032,649987,669734,687901,700161,709661,717406,722692,732220,741932,757716,772128,789237,809551,831252,849641,863383,876448,889574,897983,902017,905150,904852,906548,909833,912897,915927
 "10740","Albuquerque, NM (Metropolitan Statistical Area) *", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3303,3702,4021,4499,4795,5203,5754,6318,6832,7729,8518,9245,10131,11199,12041,13102,14090,14628,15100,15789,16488,17396,18179,19014,20001,21100,22125,22915,23788,24571,25023,26805,27787,28246,29014,30205,31392,33111,33908,35018,34342,34438,35611,35947,35348,37437,38863,40180,40715,42536
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",370042,398474,452673,494074,549564,596522,667030,750300,821170,932091,1032092,1177286,1310750,1410470,1522769,1614010,1711522,1775833,1832036,1932716,2080986,2207846,2285734,2374547,2509158,2692139,2790875,2868955,2972718,3146198,3263309,3397455,3702272,3828594,3873958,4148459,4527139,4779408,4976499,5302408,5257482,5361291,5667339,5923309,5955282,6052373,6264694,6408706,6482090,6733129
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",131387,132287,136756,137425,139971,140176,141141,143786,146270,147614,149880,152197,152773,152877,154017,154515,153989,154335,153188,151377,150180,148982,149046,147621,142225,143086,144162,143970,143986,144330,144803,145179,145102,145416,146017,146973,147930,151142,151506,152442,153164,154092,154378,154384,154617,154560,154102,154160,153604,153044
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2816,3012,3310,3595,3926,4256,4726,5218,5614,6314,6886,7735,8580,9226,9887,10446,11115,11506,11959,12768,13857,14820,15336,16085,17642,18815,19359,19927,20646,21799,22536,23402,25515,26329,26531,28226,30603,31622,32847,34783,34326,34793,36711,38367,38516,39159,40653,41572,42200,43995
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2277980,2470715,2634493,2921986,3293107,3695845,4063395,4421259,4886917,5432118,6060391,6686058,7404955,7937732,8299386,9105802,9740893,10260641,10969909,11895780,12979588,13678791,14337995,15192704,15755236,16334381,17021853,17945703,18899145,19821113,20931761,22569579,24238713,25010205,25910168,27371525,29310311,30805698,33335736,34465111,33256414,34563981,35852420,36480137,36948644,38523815,40317265,41544705,42940245,45618354
