GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "00000","United States", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",791229000,855525000,924613000,1016408000,1133468000,1244912000,1362505000,1495704000,1651632000,1855849000,2073257000,2313160000,2592915000,2779794000,2968676000,3279488000,3510471000,3719647000,3946593000,4267813000,4609667000,4897821000,5067291000,5409920000,5648732000,5940128000,6286143000,6673186000,7086935000,7601594000,8001563000,8650325000,9001839000,9155663000,9480901000,10028781000,10593946000,11372589000,12002204000,12438527000,12051307000,12541995000,13315478000,13998383000,14175503000,14982715000,15709242000,16111636000,16870106000,17813035000
 "00000","United States", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434
 "00000","United States", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3931,4198,4471,4857,5363,5836,6324,6875,7516,8356,9232,10180,11300,11999,12698,13906,14755,15490,16289,17455,18676,19621,20030,21090,21733,22575,23607,24771,25993,27557,28675,30657,31589,31832,32681,34251,35849,38114,39844,40904,39284,40546,42735,44599,44851,47058,48978,49870,51885,54446
 "00998","United States (Metropolitan Portion)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",684087777,739319709,798048937,875093686,968033324,1066312857,1165803536,1281064175,1415460784,1589606840,1776418714,1990215265,2228714960,2393280452,2563471692,2832094071,3042639993,3234764745,3441517357,3733870303,4032052653,4290095771,4435660194,4732181774,4941267162,5191551235,5506149705,5843550169,6215497735,6684716108,7052183697,7647165674,7946989970,8084384721,8364828309,8852328826,9369451842,10087408892,10644986044,11006912097,10642905674,11074965986,11761363843,12390306960,12538783197,13288445920,13971559131,14367473110,15067656200,15924514071
 "00998","United States (Metropolitan Portion)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",165312410,167673802,170105159,172046247,173780093,175466407,177030533,178686628,180432448,182401281,184484865,186782151,188778153,190745925,192718299,194703380,196876182,199228098,201492835,203720597,206023143,208731806,211749567,214894354,217865356,220657445,223370500,226131436,229081203,232040831,235008165,237948237,240717866,243260703,245592588,248115013,250646689,253256238,255922913,258627316,261210075,263664415,265944050,268303208,270540937,272917386,275318931,277676597,279734451,281717485
 "00998","United States (Metropolitan Portion)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4138,4409,4692,5086,5570,6077,6585,7169,7845,8715,9629,10655,11806,12547,13302,14546,15455,16236,17080,18328,19571,20553,20948,22021,22680,23528,24650,25841,27132,28808,30008,32138,33014,33233,34060,35678,37381,39831,41595,42559,40745,42004,44225,46180,46347,48690,50747,51742,53864,56527
 "00999","United States (Nonmetropolitan Portion) *", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",107141223,116205291,126564063,141314314,165434676,178599143,196701464,214639825,236171216,266242160,296838286,322944735,364200040,386513548,405204308,447393929,467831007,484882255,505075643,533942697,577614347,607725229,631630806,677738226,707464838,748576765,779993295,829635831,871437265,916877892,949379303,1003159326,1054849030,1071278279,1116072691,1176452174,1224494158,1285180108,1357217956,1431614903,1408401326,1467029014,1554114157,1608076040,1636719803,1694269080,1737682869,1744162890,1802449800,1888520929
 "00999","United States (Nonmetropolitan Portion) *", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",35985590,36124920,36712350,37228635,37569112,37867228,38426052,38867231,39328427,39696963,40083714,40442568,40687591,40918507,41073715,41121527,41047552,40904733,40796101,40778407,40796079,40891008,41231374,41619870,42053232,42468376,42907893,43262848,43565722,43813273,44032003,44214174,44251089,44364490,44515345,44690285,44869910,45123674,45308294,45466650,45561454,45661670,45635959,45571010,45516790,45469035,45423742,45394745,45412670,45449949
 "00999","United States (Nonmetropolitan Portion) *", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2977,3217,3447,3796,4403,4716,5119,5522,6005,6707,7405,7985,8951,9446,9865,10880,11397,11854,12380,13094,14159,14862,15319,16284,16823,17627,18178,19177,20003,20927,21561,22689,23838,24147,25072,26325,27290,28481,29955,31487,30912,32128,34055,35287,35959,37262,38255,38422,39690,41552
 "01000","Alabama",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",9737715,10628318,11699341,12999098,14638867,16241055,18100116,20324056,22394893,25339922,28151411,31037123,34465512,36396094,38970502,42870184,46098732,48790314,51651951,55558831,60395710,64239770,67929940,73039777,76398045,80848446,85473600,89349999,93981379,99953288,103453058,108355099,112154930,115191809,120211076,128739879,136327338,145175833,152327005,157366824,155145273,161516561,167942757,172804075,174415510,180457769,187544435,190814674,197283188,206455011
